name,artist,id,added_at,added_by
"Dance, Dance",Fall Out Boy,0a7BloCiNzLDD9qSQHh5m7,2017-07-24T02:01:38Z,alexellis96
Ocean Avenue,Yellowcard,23oxJmDc1V9uLUSmN2LIvx,2017-07-24T02:02:14Z,alexellis96
Shake It,Metro Station,5619Ojc6t9evEEs3B7Drhe,2017-07-24T02:03:02Z,alexellis96
A Thousand Miles,Vanessa Carlton,4w1lzcaoZ1IC2K5TwjalRP,2017-07-28T01:17:12Z,alexellis96
Wonderwall (Remastered),Oasis,5wj4E6IsrVtn8IBJQOd0Cl,2017-07-28T01:17:21Z,alexellis96
I Write Sins Not Tragedies,Panic! At The Disco,5cY8y2XgOfkAh4kSWLFKkz,2017-09-05T19:32:15Z,alexellis96
All The Small Things,blink-182,7yCPwWs66K8Ba5lFuU2bcx,2017-09-05T19:32:16Z,alexellis96
The Anthem,Good Charlotte,0BRHnOFm6sjxN1i9LJrUDu,2017-09-05T19:32:18Z,alexellis96
Lifestyles of the Rich & Famous,Good Charlotte,2g2a5kDeZexbUTD8abcvm6,2017-09-05T19:32:32Z,alexellis96
Move Along,The All-American Rejects,58HpsDKeYoLtNhXFQyQmz5,2017-09-05T19:32:34Z,alexellis96
Somebody Told Me,The Killers,3twNvmDtFQtAd5gMKedhLD,2017-09-05T19:32:43Z,alexellis96
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,1oagRT7LfpVlNJN6FSZDGp,2017-09-05T19:32:44Z,alexellis96
The Great Escape,BOYS LIKE GIRLS,6GIrIt2M39wEGwjCQjGChX,2017-09-29T01:11:35Z,alexellis96
1985,Bowling For Soup,5oQcOu1omDykbIPSdSQQNJ,2017-09-29T01:11:37Z,alexellis96
"Check Yes, Juliet",We The Kings,5Vac8co5QPblcdlWbHSFsE,2017-09-29T01:11:41Z,alexellis96
Welcome to the Black Parade,My Chemical Romance,5wQnmLuC1W7ATsArWACrgW,2017-09-29T01:11:46Z,alexellis96
Dirty Little Secret,The All-American Rejects,5lDriBxJd22IhOH9zTcFrV,2017-09-29T01:11:48Z,alexellis96
What's My Age Again?,blink-182,1hWrl3T1kIH5b9zRHLfCOn,2017-09-29T01:11:53Z,alexellis96
"Sugar, We're Goin Down",Fall Out Boy,4zjFqN9fXAw91GNgJOCYX6,2017-09-29T01:11:59Z,alexellis96
American Idiot,Green Day,6nTiIhLmQ3FWhvrGafw2zj,2017-09-29T01:12:01Z,alexellis96
Welcome to My Life,Simple Plan,714Lw0m2SmCEhKSPw0Dn8J,2017-09-29T01:12:03Z,alexellis96
Gives You Hell,The All-American Rejects,6ihL9TjfRjadfEePzXXyVF,2017-09-29T01:12:08Z,alexellis96
Thnks fr th Mmrs,Fall Out Boy,3Zwu2K0Qa5sT6teCCHPShP,2017-09-29T01:12:09Z,alexellis96
Teenagers,My Chemical Romance,7j31rVgGX9Q2blT92VBEA0,2017-09-29T01:12:24Z,alexellis96
Stacy's Mom,Fountains Of Wayne,27L8sESb3KR79asDUBu8nW,2017-09-29T01:12:26Z,alexellis96
Nine in the Afternoon - Single Mix,Panic! At The Disco,1S30kHvkkdMkcuCTGSgS41,2017-09-29T01:12:34Z,alexellis96
Just the Girl,The Click Five,1JURww012QnWAw0zZXi6Aa,2017-09-29T01:12:38Z,alexellis96
It Ends Tonight,The All-American Rejects,1FMHNVeJ9s1x1l1WlaRs2I,2017-09-29T01:12:43Z,alexellis96
"You're Gonna Go Far, Kid",The Offspring,6TfBA04WJ3X1d1wXhaCFVT,2017-09-29T01:13:02Z,alexellis96
The Kids Aren't Alright,The Offspring,4EchqUKQ3qAQuRNKmeIpnf,2017-09-29T01:16:42Z,alexellis96
In Too Deep,Sum 41,1HNE2PX70ztbEl6MLxrpNL,2017-09-29T01:21:18Z,alexellis96
Fat Lip,Sum 41,4KacUpvbA3Mfo05gttTjhN,2017-09-29T01:21:23Z,alexellis96
