name,artist,id,added_at,added_by
Come On Eileen,Dexys Midnight Runners,3MrWxJaD2AT0W9DjWF64Vm,2021-02-11T17:01:16Z,goobz24
Hold the Line,TOTO,4aVuWgvD0X63hcOCnZtNFA,2021-02-11T17:01:41Z,goobz24
Walk of Life,Dire Straits,423o3ZHIaBtGXyhF1uH41a,2021-09-13T23:34:02Z,goobz24
Cat's in the Cradle,Harry Chapin,2obblQ6tcePeOEVJV6nEGD,2021-09-13T23:19:59Z,goobz24
Escape (The Pina Colada Song),Rupert Holmes,5IMtdHjJ1OtkxbGe4zfUxQ,2021-02-11T17:03:05Z,goobz24
Dancing in the Street - 2002 Remaster,"David Bowie, Mick Jagger",6FnuMo55jNECTDdS1nD5H0,2021-09-13T23:25:25Z,goobz24
Don't You (Forget About Me),Simple Minds,3fH4KjXFYMmljxrcGrbPj9,2021-02-11T17:03:06Z,goobz24
My Sharona,The Knack,1HOMkjp0nHMaTnfAkslCQj,2021-02-11T17:03:14Z,goobz24
I've Been Everywhere,Johnny Cash,59J3FhCGYl18G3ouDReUge,2021-09-13T23:26:12Z,goobz24
Don't Bring Me Down,Electric Light Orchestra,72ahyckBJfTigJCFCviVN7,2021-02-11T17:03:16Z,goobz24
Train in Vain (Stand by Me) - Remastered,The Clash,6ITuEsxEy2qPhqMowdDAeI,2021-09-13T23:37:59Z,goobz24
I'm Gonna Be (500 Miles),The Proclaimers,67iAlVNDDdddxqSD2EZhFs,2021-02-11T17:03:23Z,goobz24
Young Americans - 2016 Remaster,David Bowie,7uPmQttafLiJyju14JREY4,2021-09-13T23:27:33Z,goobz24
More Than a Feeling,Boston,1QEEqeFIZktqIpPI4jSVSF,2021-02-11T17:03:25Z,goobz24
Africa,TOTO,2374M0fQpWi3dLnB54qaLX,2021-02-11T17:03:28Z,goobz24
Fat Bottomed Girls - Remastered 2011,Queen,4igIYHF3B5VBxEafHauVo3,2021-09-13T23:38:06Z,goobz24
Magic Carpet Ride,Steppenwolf,4c4jJJoaiY21t2TyRZgdWS,2021-09-13T23:35:26Z,goobz24
Crocodile Rock,Elton John,6WCeFNVAXUtNczb7lqLiZU,2021-02-11T17:03:30Z,goobz24
