name,artist,id,added_at,added_by,length_seconds
Half-Truism,The Offspring,7xm8RWCCBYvEVx1VyErDa3,2020-11-02T05:05:26Z,1214496633,205
"Steady, As She Goes",The Raconteurs,2VAlwOewe5c40VHyqozF1V,2020-11-02T05:05:33Z,1214496633,215
St. James Infirmary Blues,The White Stripes,5jYEWVjsuKy3HcsRuKvEmF,2020-11-02T05:05:48Z,1214496633,144
California Uber Alles,Dead Kennedys,5szJ8SMwQVEvvdk65w6M6g,2020-11-02T05:05:57Z,1214496633,207
Holiday in Cambodia,Dead Kennedys,2OuNnwnNQyWrF47pthWxNb,2020-11-02T05:06:06Z,1214496633,224
The Rifle's Spiral,The Shins,4vg1R4QYoWSFUUj2qX5L5K,2020-11-02T05:06:25Z,1214496633,209
Australia,The Shins,0NhvXWy3knBLgGGM6Y1Q7R,2020-11-02T05:06:32Z,1214496633,236
I Love Seattle,Tacocat,4WA24ktvdhzeQrO3VMMkaL,2020-11-02T05:06:48Z,1214496633,156
Gamma Knife,King Gizzard & The Lizard Wizard,0yxzfsmzMOCRhbHBpFjXzL,2020-11-02T05:06:56Z,1214496633,261
Spilt Needles,The Shins,0SuDmBAWBLuxFvELy3ipOd,2020-11-02T05:07:46Z,1214496633,224
So Says I,The Shins,1ZOHZ37YIHnVn8dEpNIEhp,2020-11-02T05:07:52Z,1214496633,168
Ain't No Rest for the Wicked,Cage The Elephant,3kb72STxc2959ZqsTwu52i,2020-11-02T05:08:24Z,1214496633,175
Robot Stop,King Gizzard & The Lizard Wizard,4bbZcD92nLvQnbrblZTS1K,2020-11-02T05:09:49Z,1214496633,322
Reptilia,The Strokes,57Xjny5yNzAcsxnusKmAfA,2020-11-02T05:09:56Z,1214496633,219
1901,Phoenix,1mvyqSb1tOvtVP1qfWEyPa,2020-11-02T05:10:02Z,1214496633,193
Broken Bricks,The White Stripes,5iAZIoZRKqcQbFhdkKgzeL,2020-11-02T05:10:16Z,1214496633,111
I Hate the Weekend,Tacocat,7M1Wssdqgsl8CHFedtehTb,2020-11-02T05:10:57Z,1214496633,125
Spun,GROUPLOVE,6WgvvNUermK2Xad0jRPxXr,2020-11-02T05:13:05Z,1214496633,205
House Of The Rising Sun,The Animals,7BY005dacJkbO6EPiOh2wb,2020-11-02T05:13:31Z,1214496633,271
