name,artist,id,added_at,added_by
Animal,Neon Trees,1fBl642IhJOE5U319Gy2Go,2023-11-30T02:43:21Z,1236518336
Big Fig Wasp,King Gizzard & The Lizard Wizard,1dYHMsuRUIPXHkOZbT8HQ0,2023-11-30T02:43:48Z,1236518336
Clouds & Cream,Sticky Fingers,4aqjIjcGyEVAMMGjyB34UK,2023-11-30T02:43:57Z,1236518336
Morbid Stuff,PUP,3m0qnzWWaKVTcZD5eiDIlE,2023-11-30T02:44:07Z,1236518336
Combat Baby,Metric,2QJ9dLiolwZNPl5etYP2MI,2023-11-30T02:44:19Z,1236518336
Spiderhead,Cage The Elephant,5r5Lj2MkgwQJz6TaBdL865,2023-11-30T02:44:41Z,1236518336
Oh!,The Linda Lindas,1Wn0A9wVEQXj2JVbdsclpi,2023-11-30T02:44:53Z,1236518336
Hertz,Amyl and The Sniffers,4GIeQy7OzftStBoimCWIMU,2023-11-30T18:01:30Z,1236518336
It's Getting Boring By The Sea,Blood Red Shoes,0Y1FLqg7c4YFCKP2F6HXsG,2023-11-30T18:02:28Z,1236518336
The News,Paramore,59RjIhWIpthNpwrlChUvXm,2023-11-30T18:09:40Z,1236518336
Last Nite,The Strokes,3SUusuA9jH1v6PVwtYMbdv,2023-12-06T02:06:41Z,1236518336
Thomas Theme,Thomas & Friends,3STU5Q4eapZJ5VbKsjsEOY,2023-12-13T00:44:39Z,1236518336
The Ballad of Sara Berry,"Lindsay Mendez, 35MM: A Musical Exhibition Original Cast",7AHhmlNBa9JZ7y9XgPrt6t,2023-12-23T04:45:28Z,1236518336
No Sleep Till Brooklyn,Beastie Boys,5qxChyzKLEyoPJ5qGrdurN,2024-01-01T03:02:55Z,1236518336
Come and Get Your Love - Single Version,Redbone,7GVUmCP00eSsqc4tzj1sDD,2024-01-01T03:31:21Z,1236518336
Alien Blues,Vundabar,11iIikXxC6NP0Ma8vMD27x,2024-01-01T04:00:14Z,1236518336
Drop the Guillotine,Peach Pit,1gpBDeONibvJyQYEv5HJh9,2024-01-01T04:03:36Z,1236518336
Drunk Drivers/Killer Whales,Car Seat Headrest,75hwtYcghca6YKW4i6C6fP,2024-01-05T03:19:57Z,1236518336
"Galavant - From ""Galavant"" / Soundtrack Version",Cast of Galavant,04yohzcoR1KxQrY19AqEQQ,2024-01-19T05:12:25Z,1236518336
Lent,Autoheart,3eonvnYEnoZHwmfTQrGf0q,2024-01-30T22:49:52Z,1236518336
Beggin',Måneskin,3Wrjm47oTz2sjIgck11l5e,2024-02-20T15:17:42Z,1236518336
brutal,Olivia Rodrigo,6SRsiMl7w1USE4mFqrOhHC,2024-02-20T15:17:51Z,1236518336
"For a Pessimist, I'm Pretty Optimistic",Paramore,2PDLmgDWiwjUTxl1pPyDQA,2024-03-14T02:02:58Z,1236518336
August,San Fermin,2TOZZWw9dryQvugQeSQo5Q,2024-03-14T02:03:08Z,1236518336
R U Mine?,Arctic Monkeys,2AT8iROs4FQueDv2c8q2KE,2024-03-14T02:03:16Z,1236518336
Fuck Shit Up (Whanana),Wingnut Dishwashers Union,07qiBXXkbBWcwycv29xKju,2024-03-14T02:03:42Z,1236518336
My Eyes,"Neil Patrick Harris, Felicia Day",7Ak1OOi3ecT36gDR1gAuMt,2024-03-14T02:03:49Z,1236518336
Your Heart Is a Muscle the Size of Your Fist - Live,Ramshackle Glory,3NaMBA6R1bq0qBiXckSHcf,2024-03-14T02:03:55Z,1236518336
Erasure,Superchunk,4cqUHsPu5TWbC3XlordUvv,2024-03-14T02:04:56Z,1236518336
Fluorescent Adolescent,Arctic Monkeys,7e8utCy2JlSB8dRHKi49xM,2024-03-14T02:05:47Z,1236518336
Reptilia,The Strokes,57Xjny5yNzAcsxnusKmAfA,2024-03-14T02:05:47Z,1236518336
Feel Good Inc.,Gorillaz,0d28khcov6AiegSCpG5TuT,2024-03-14T02:05:47Z,1236518336
Song 2 - 2012 Remaster,Blur,1FTSo4v6BOZH9QxKc3MbVM,2024-03-14T02:05:47Z,1236518336
Fitzpleasure,alt-J,7DdXf9x75iEVCHWfoRwRuR,2024-03-14T02:05:47Z,1236518336
Trouble,Cage The Elephant,5n0CTysih20NYdT2S0Wpe8,2024-03-14T02:05:47Z,1236518336
Cocaine Jesus,Rainbow Kitten Surprise,0ZAbupc7jAQpG9IxojQ3s3,2024-03-14T02:05:47Z,1236518336
Elephant,Tame Impala,6qZjm61s6u8Ead9sWxCDro,2024-03-14T02:05:47Z,1236518336
I Bet You Look Good On The Dancefloor,Arctic Monkeys,3DQVgcqaP3iSMbaKsd57l5,2024-03-14T02:05:47Z,1236518336
Let's Dance to Joy Division,The Wombats,7v9Ne4758aGFfFc5avh89h,2024-03-14T02:05:47Z,1236518336
Kids,PUP,6Dgix2xCbnqigfrjulm24R,2024-03-14T02:05:47Z,1236518336
Cool Slut,Chastity Belt,41AlRJniGbvQ8chU2xOp8z,2024-03-14T02:05:47Z,1236518336
Ragged Wood,Fleet Foxes,0DrPfPbgV3TxsxgqEjQzPk,2024-03-14T02:05:47Z,1236518336
Ignorance,Paramore,47No93LxERvV6MtOAmQzHS,2024-03-14T02:05:47Z,1236518336
Misty Mountain Hop - Remaster,Led Zeppelin,3frf3zTgzt3YIx9ylpUoqU,2024-03-14T02:05:47Z,1236518336
Mata Hari,Mary Prankster,4NEFs5hXup90waxU2Ufmec,2024-03-14T02:05:47Z,1236518336
Icky Thump,The White Stripes,09QZAEmdbq28OaNyqTOEvY,2024-03-14T02:05:47Z,1236518336
The Way You Used to Do,Queens of the Stone Age,1wsnCfewxZlCs7cJxkaMZM,2024-03-14T02:05:47Z,1236518336
Still into You,Paramore,1yjY7rpaAQvKwpdUliHx0d,2024-03-14T02:05:47Z,1236518336
Goodbye Baltimore (The Flute Song),Sunrise Skater Kids,4cwx3qg37ZV3WNiovWRZBl,2024-03-14T02:05:47Z,1236518336
Multi-Love,Unknown Mortal Orchestra,0PEXp5yk0sx9dJ8JzwvjJb,2024-03-14T02:05:47Z,1236518336
Run For Cover,The Killers,5NAiPIEzxAexFE3ucV18Q8,2024-03-14T02:05:47Z,1236518336
Woman (feat. The Dap-Kings Horns),"Kesha, The Dap-Kings Horns",1kJtfldK9F7XmsSiSNlbth,2024-03-14T02:05:47Z,1236518336
Half-Truism,The Offspring,7xm8RWCCBYvEVx1VyErDa3,2024-03-14T02:05:47Z,1236518336
Beck and Call,Sundressed,1THB7uaTp7I4rriLg0tfy0,2024-03-14T02:05:47Z,1236518336
Pan,Ty Segall,4hhLwyDPc00uxRYp0qn7mf,2024-03-14T02:05:47Z,1236518336
Don't Call My Name,Skinshape,2dXs6WlSVXJX3i99Xw4n2u,2024-03-14T02:05:47Z,1236518336
Threshold,Sex Bob-Omb,0Zq9KrBsJSWfnIgEyXi05b,2024-03-14T02:05:47Z,1236518336
We Are Sex Bob-Omb,Sex Bob-Omb,6tHpxFDLucR3Xs9nivuyiO,2024-03-14T02:05:47Z,1236518336
Robot Stop,King Gizzard & The Lizard Wizard,4bbZcD92nLvQnbrblZTS1K,2024-03-14T02:05:47Z,1236518336
Good Vibrations - Remastered 2001,The Beach Boys,5t9KYe0Fhd5cW6UYT4qP8f,2024-03-14T02:05:47Z,1236518336
Fox On The Run,Sweet,4uip0lLkMKl1nwchsdXs1r,2024-03-14T02:05:47Z,1236518336
Foreplay / Long Time,Boston,39C5FuZ8C8M0QI8CrMsPkR,2024-03-14T02:05:47Z,1236518336
Sophomore Slump Or Comeback Of The Year,Fall Out Boy,1iir1dMidSGRzbPMCCEtfX,2024-03-14T02:05:47Z,1236518336
Fever Pitch,Rainbow Kitten Surprise,5vyt44455ipNNVSYq8fYY7,2024-03-14T02:05:47Z,1236518336
Seaside Rendezvous,Queen,3yAtZ2P04emml9dmOFpJhp,2024-03-14T02:05:47Z,1236518336
Harness Your Hopes - (B-side),Pavement,4tggZyGJMNJMooWuRbvN5q,2024-03-14T02:05:47Z,1236518336
In the Aeroplane Over the Sea,Neutral Milk Hotel,4OciRObYGzPzlU40U7YRc8,2024-03-14T02:05:47Z,1236518336
Howlin' for You,The Black Keys,0grFc6klR3hxoHLcgCYsF4,2024-03-14T02:05:47Z,1236518336
Season 2 Episode 3,Glass Animals,4vcoNCrTtunmJ9q8srpVly,2024-03-14T02:05:47Z,1236518336
She's Kerosene,The Interrupters,3iD9T5SquODyoqfnC2eLR3,2024-03-14T02:05:47Z,1236518336
