name,artist,id,added_at,added_by
"Danse macabre in G Minor, Op. 40","Camille Saint-Saëns, Slovak Radio Symphony Orchestra, Keith Clark",1IM8x4lxZVOOP9gpQD6c5s,2019-09-04T15:28:17Z,1214496633
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)","Johannes Brahms, Wiener Philharmoniker, Claudio Abbado",2oLjhx7w8Hyd3gry9cCXr7,2019-09-04T15:28:42Z,1214496633
1812 Overture - Finale (V for Vendetta),"London Symphony Orchestra, George Richter",5g5CGtmMeIDW6bdyZnL1JM,2019-09-04T15:28:56Z,1214496633
"Die Walkure, Act III: Ride of the Valkyries","Richard Wagner, Budapest Symphony Orchestra, György Lehel",2e8MxBgVWMSQmxb2zcuCoq,2019-09-04T17:17:36Z,1214496633
"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio","Ludwig van Beethoven, Wiener Philharmoniker, Carlos Kleiber",6cUCckpdlqHJ5Ascf2uH2A,2019-09-04T17:18:39Z,1214496633
"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto","Antonio Vivaldi, Nigel Kennedy, English Chamber Orchestra",2nnXe7n3Vivs7OfQKRsfWD,2019-09-04T17:19:30Z,1214496633
Violin Concerto BWV 1042 in E Major: Violin Concerto BWV 1042 in E Major: I. Allegro,"Johann Sebastian Bach, Freiburger Barockorchester, Gottfried Von Der Goltz",3nxaPqAOxUxkLhIhbvmv4t,2019-09-04T17:20:13Z,1214496633
Messa da Requiem: 2. Dies irae,"Giuseppe Verdi, The Monteverdi Choir, Orchestre Révolutionnaire et Romantique, John Eliot Gardiner",3HKw4bpYiWhxc4NF7Db2iv,2019-09-04T17:22:52Z,1214496633
"Le Trouvère, Acte II: Vedi! Le fosche notturne spoglie","Giuseppe Verdi, Wiener Philharmoniker, Herbert von Karajan, Chœur de l'opéra de Vienne",4HavMg47jb3dUlntUU4OoP,2019-09-04T17:22:57Z,1214496633
"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse","Antonín Dvořák, Prague Chamber Orchestra, Petr Skvor",3sAYxq1986j3ydqLv6jwUJ,2019-09-04T17:23:59Z,1214496633
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",2xizRhme7pYeITbH1NLLGt,2019-09-04T17:24:58Z,1214496633
"Vivaldi: The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro","Antonio Vivaldi, Nigel Kennedy, English Chamber Orchestra",6JV3m7TDJ9gsJNHp0e4MWM,2019-09-04T17:25:27Z,1214496633
"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""L'estate"": III. Tempo impetuoso d'estate","Antonio Vivaldi, Europa Galante, Fabio Biondi",0VQMAup2VdeQWLCvM14Uz2,2019-09-04T17:25:52Z,1214496633
