name,artist,id,added_at,added_by,length_seconds
Dimes (Sean Tyas Remix),"Bloodhound Gang, Sean Tyas",6P5IxvUlNxMNNzRobY8W2Y,2019-08-11T20:46:10Z,1214496633,414
Hey Baby,"Melleefresh, deadmau5",5T6NjHZkbAPE3sZJAPWCVA,2019-08-11T20:47:58Z,1214496633,427
A Hair on the Head of John the Baptist,Saltillo,0toslGv7qXGkLjhZdubv1y,2019-08-14T07:28:38Z,1214496633,454
Untouchable,Xtortion Audio,5UXwDPsLzfcO6ImlpElNDn,2019-08-30T23:51:49Z,1214496633,194
Everybody Gets High (Eyka Remix),"Missio, Eyka",0IdcVxSIorQRGdg9rvbh1q,2019-09-02T02:44:05Z,1214496633,241
Thrift Shop,Vitamin String Quartet,5hoNCkUzeYEprcVWtatPam,2019-09-04T19:11:14Z,1214496633,221
Zodiac Overdrive,Mosh,6hkbIboDoXu4JUuWCY51XV,2019-09-13T19:13:30Z,1214496633,312
Tubular Bells - Pt. I,Mike Oldfield,7ERSQrRptZVM7q3VOdM7OL,2019-10-01T14:04:24Z,1214496633,1561
Tubular Bells - Pt. II,Mike Oldfield,5GmNpR6bCLGk2tdUTFfNJM,2019-10-01T14:04:28Z,1214496633,1397
Amulet,Copal,3L0bGiltGB95cDYaWGR7Xq,2019-10-24T21:03:36Z,1214496633,292
Snow,Tengger Cavalry,4nY1GIfdRWhPh9RBSCXsNW,2019-10-28T20:09:50Z,1214496633,112
Wind the Horn,Ego Fall,2e58AqO2qXk02tMc4b4GKB,2019-10-30T22:31:32Z,1214496633,233
Basique,Orelsan,2ICdvchXmDh5mdLyyL2opB,2019-11-16T06:15:13Z,1214496633,163
Hydrogen,Alex Yarmak,49jB3rbk3QeVpTUznTqldr,2019-11-25T17:23:01Z,1214496633,238
San Frandisco,Dom Dolla,4KrATQEoEbKAAY7j0kMDBl,2019-12-08T14:27:37Z,1214496633,185
De Sade,Centhron,4oPFPxf8O14i54EXm5J0dL,2019-12-18T10:38:40Z,1214496633,238
Everlasting Hymn (Cathedral),Ridiculon,2Ppvr0MiLdxYyqAlLSNDuj,2020-01-01T12:18:44Z,1214496633,172
This is SPARTA !!! (with Gerard Butler),"SAMMY & LESEN, Gerard Butler",1nIwzJMWYtEAFjJ88IboM4,2020-01-01T12:22:50Z,1214496633,258
Aztec - Original Mix,Blanco,522Zp8rSymo3LEqAYdQuUj,2020-01-03T18:04:08Z,1214496633,281
Sound 102 (Extended),Odd Chap,7GD9J6QgYtNRtPRLW2Y9Ro,2020-01-10T03:03:49Z,1214496633,320
Mes 100 ciels,Elyose,0zUuj0VysN3FbvETJ5kpT7,2020-01-10T03:11:44Z,1214496633,239
Seafood Supply Chain,"Fraunhofer Diffraction, Ian Urbina",02adjSR1Z2S4teMQpWE9wB,2020-02-09T07:43:47Z,1214496633,285
Get a Hold of Yourself - Nostromo 'Binary Overdrive' Edit),Sugar Jesus,0XPkVk7yNTxGfsxn7fhtv8,2020-02-28T04:10:58Z,1214496633,285
Empress,Mosh,50uaVi1LyFRFh5G31ekOEH,2020-03-09T23:12:47Z,1214496633,282
Oh My,Melodysheep,2T7Se2lEpQoPWYl8oQODV7,2020-03-10T00:12:13Z,1214496633,183
IKAZUCHI - Short Version,Yoshida Brothers,5RHGHKamL6TVt7OjsLKeLP,2020-03-16T20:18:39Z,1214496633,109
Tongues,"Qreepz, Esslu",5O7RFqh9KgViPO7kTB9CGb,2020-04-08T05:20:46Z,1214496633,175
Slutty Spider Polka Pop (Angel Dust Theme),Gooseworx,2Um2DA6F0Qppo00J1E4nRH,2020-05-05T19:15:03Z,1214496633,264
Sk8er Boi A Capella,Cynthia DiPaula,,2020-05-13T00:07:38Z,1214496633,17
No Vampires Remain in Romania (Dracula Spectacular),King Luan,0vrY8GSxSO8SvcQiD6mMGy,2020-05-31T14:10:44Z,1214496633,188
The Prophet's Song,Cellar Darling,2FhGkwAJYAbjCR7rCCZDFG,2020-06-07T04:51:59Z,1214496633,444
Voidfish (Plural),Rachel Rose Mitchell,0LRPWivGTYpRIdfwxTg5aH,2020-07-07T01:45:31Z,1214496633,394
Deku Palace - Remix,Theophany,4lTteyedqRHBWmqEzrcuMG,2020-07-23T20:58:18Z,1214496633,379
Midnight Breakfast,Christopher Bowes and His Plate of Beans,3PFLyFvAvpWvqcpVrF85mS,2020-07-23T21:40:07Z,1214496633,177
From the Fields of Gallia,Antti Martikainen,2sdMyD4iyjwItfZYJrUbls,2020-07-23T21:44:31Z,1214496633,440
Little Bit Crazy - Rossko Extended Remix,K-flay,6F7rCrhclB0ikD8UEqtXGh,2020-08-04T21:22:18Z,1214496633,314
Sand Planet,"Master Andross, JubyPhonic",466TrerqKAsRy0ueqxRfkX,2020-08-06T15:03:35Z,1214496633,243
Trøllabundin,Eivør,3MdEnYp8pv39XHynVC8Lq0,2020-08-14T19:17:37Z,1214496633,270
Silvitni,Eivør,0DtktYF0tDTCOEGGrUjCRb,2020-08-17T11:39:09Z,1214496633,278
Vatt'ghern,Gilead,0Nd3gxlMRmI0s5HdLK7miH,2020-08-19T18:58:21Z,1214496633,276
The Mover,"Catnapp, Modeselektor",5AMV02ipEOnPNyfEuIlpjX,2020-08-26T18:53:32Z,1214496633,177
BORN DARK,Holy Wars,6ap2tdcYnaAznbvPoAxnu9,2020-08-27T22:07:08Z,1214496633,207
Discipline Equals Freedom,"Akira The Don, Jocko Willink",55JaqnbRtCZevhlk0JSXNe,2020-09-03T22:38:34Z,1214496633,353
Ghost in The Shell (feat. Magnus Deus) - Ultra Music Festival Edit,"Mark Holiday, Magnus Deus",5jhp7GoaYT8jsEz8AbKYaV,2020-09-08T16:00:33Z,1214496633,390
Hard And Dirty,Modulate,6cUbJ5PeNU0Llsl7RJcNnQ,2020-09-13T12:33:25Z,1214496633,293
Follow Me,ShockOne,1MKUYM2oiCX4AtyuEocHBe,2020-09-22T11:52:06Z,1214496633,230
Am I A Girl?,Poppy,6v3b2lQADc1ugsXvrqYZIB,2020-11-02T06:05:57Z,1214496633,217
The Spoils,"Massive Attack, Hope Sandoval",1l0Wqi6wcuo75Dc0Vi1EQn,2020-11-02T06:14:53Z,1214496633,345
20 Ways to Kill Someone,Phosgore,4LoEvgTcsLYNiDVKAN5C5a,2020-12-31T00:42:27Z,1214496633,216
Dark in My Imagination,of Verona,4gSa05IOKfxDzYlP3D2k7T,2021-01-06T01:42:30Z,1214496633,256
Lotus Flower,Alexa Melo,40JpArnjk40fDXBvQbm1NT,2021-01-10T07:23:03Z,1214496633,286
Vidar,Fuimadane,5kZrMwwfoorYff7jDJw2G9,2021-02-23T07:19:12Z,1214496633,259
White Rabbit - Sucker Punch: Original Motion Picture Soundtrack,Emilíana Torrini,2X4VRRHDYSuS7ey5d1QOht,2021-03-13T19:41:32Z,1214496633,307
Woman - Sofi Tukker Remix,"Rema, Sofi Tukker, Mavins",5hLD4viaS6zWqbelTa6YNI,2021-04-11T19:43:31Z,1214496633,210
TERRITORY,The Blaze,2W3EgJst61RLZtPPm3EQim,2021-04-28T20:39:46Z,1214496633,276
If You Still Believe -The Legend of Dragoon Main Theme-,SIE Sound Team,6CnXtlj2pjc0IA89yiUScv,2021-05-01T00:12:17Z,1214496633,357
Hamster Dance 2.0,The Boomtang Boys,75QpS2xajyGZa1dS9Jlhu3,2021-05-05T21:04:00Z,1214496633,247
Cry Little Sister,"Vomitron, Anneke Van Giersbergen",2GYpGRvqOs2RsFr72a7hZF,2021-05-10T09:36:00Z,1214496633,310
Küssen müssen,"KunstRaub, Helena",4CUH3jDTAgLt3jmV5nYgz1,2021-05-16T19:39:29Z,1214496633,196
Runs in the Family,Amanda Palmer,0GdiWLQt5VYtMEcero6AOW,2021-06-03T00:27:28Z,1214496633,164
Everybody (Little Big Are Back),Little Big,2IYgoiQZgO27BSwffUGh96,2021-06-16T21:35:21Z,1214496633,164
Beautiful Stranger - New Club Edit,Madonna,1MUoM8gBDcUZZx7UtkNpc0,2021-06-16T22:03:30Z,1214496633,313
Robot Love,"Klaypex, Greta",718lC48FqA6liN6xSgBUhm,2021-07-01T00:44:50Z,1214496633,231
Now Hiring (feat. Schaffer the Darklord),Dr. Awkward,75hGf3tTCbA3jbPCeiNc69,2021-07-21T00:58:48Z,1214496633,206
Ghosts - Single Edit,Ladytron,6HyCuworj0qPP77MKVSKVc,2021-08-16T14:50:00Z,1214496633,271
GUY.exe,Superfruit,3JTjLyrnevl9ASw3ayGO2P,2021-09-06T02:05:17Z,1214496633,222
Melt,Siouxsie and the Banshees,1yWg96Y3WI1auS6fyPQVcE,2021-09-27T20:25:36Z,1214496633,227
Halloween,Faun,2YZxKtwzCmxASKHgcNEo22,2021-10-23T15:42:59Z,1214496633,233
Sleeping in the Cold Below,"Freya Catherine, Jack Victor",7ge93cbaCiUTU0IxLW6LY5,2021-11-12T23:38:54Z,1214496633,229
Knew Me Too Well,"Georgia Train, Bitter Ruin",63QFXYxHa91fG2FBUPup7i,2021-11-19T01:53:44Z,1214496633,222
Blood Hunter,Varien,7FWV0SaFxRg7TLjo163VgN,2022-02-15T15:57:43Z,1214496633,240
Kali Yuga,Semargl,4Y9wa7bBtvwEJQzCcNB9oa,2022-03-12T02:21:31Z,1214496633,192
Us,So Below,6DdxVfYofYyDyMbUENoiIi,2022-04-22T09:44:50Z,1214496633,300
He's a Pirate - Viking Version,"Em Young, Jonathan Young",447D9vJbQT7eEOxts4xsZm,2022-05-30T17:09:40Z,1214496633,142
Titanic's Lament,Karliene,1knOBECwmDDm8Ynn8arvB8,2022-05-30T17:09:55Z,1214496633,300
The Pirate Emergency,Oli Frost,5jfvOGQXhj6YdYXROgee3l,2022-06-30T16:22:44Z,1214496633,107
Stay Awake,London Grammar,0rQDukE3ClP65YWJMQTGRd,2022-07-05T23:43:51Z,1214496633,185
Pain,"Le Destroy, The Red Glare",3AkSBk82V7XJbJbyjKb8ti,2022-07-15T02:49:27Z,1214496633,204
Jerusalem,Dan Bern,2aCqeD8sJNjZ28qdhKLRdl,2022-07-26T14:58:56Z,1214496633,224
Flip Flop Fliep Flap (Pilfinger Dance Song) - Remix,Sigurd Barrett,4ZY2tTJfvwD8dpayRECrXs,2022-07-27T16:31:33Z,1214496633,156
Viper,Derivakat,1cFiDz9OlHABLZPHJ5x1WL,2022-08-21T22:27:16Z,1214496633,211
Path to Victory,"Magic: The Gathering, Zac Zinger, Tomoko Akaboshi, OR3O",6tguGndfZUX9PYt11CMy6G,2022-11-14T05:36:20Z,1214496633,231
Whore,In This Moment,2tAzcTFry1OhmNERFjUR93,2022-12-04T21:05:14Z,1214496633,245
Psychonaut!,Ears4d,0TogBzQihtlC0muR6RBoeO,2023-02-02T19:27:24Z,1214496633,264
The Salmon Dance,The Chemical Brothers,3vRYtf5xgPrYeVzAmqvzTd,2023-03-04T22:00:03Z,1214496633,220
The Cruel Wars,The Dreadnoughts,6BadR8UdEijDv01ZafyO62,2023-04-14T04:26:22Z,1214496633,187
Lifeguard,Forever We Roam,5ED22kt24wp0QVTWnOHQH0,2023-04-26T08:32:59Z,1214496633,243
Strange Friends And Friendly Strangers,Tim Kinsella,41cKA3iTj1h8WIsVtpWib0,2023-05-03T18:15:42Z,1214496633,350
Iridium,The Sidh,648jNGxqGVBFfFSSWishhd,2023-05-15T13:34:09Z,1214496633,248
For Elise,Saint Motel,6i40XRqEwHAnSxwZWasMRp,2023-05-28T18:14:49Z,1214496633,203
Me Want Bite,Keyes.,5G0GAvpivaEavBXIjA2Ktm,2023-06-04T17:13:08Z,1214496633,142
Rät,Penelope Scott,4blPH3Uy89WnOnYlIv7Ev4,2023-07-12T20:56:05Z,1214496633,194
Soft Universe,AURORA,1jf1gcPc1nckS0PAJkbPqo,2023-08-25T17:33:25Z,1214496633,239
Unsubstantial,Anya Nami,7u9gUIq2jVEnIgUXAVXnBb,2023-10-08T18:33:55Z,1214496633,100
Center of the Sun - Solarstone's Chilled Out Remix,"Conjure One, Rhys Fulber, Solarstone",3jKaRJQ91efMW1nurZGkQX,2023-10-08T18:45:17Z,1214496633,598
Rule #27 - Drunk on Pride,"Fish in a Birdcage, Philip Bowen",2hhk7nZsDBQe4UlBR6o2PY,2023-10-20T17:54:59Z,1214496633,154
"""Hurrian Hymn no. 6"" (c.1400BCE) - Ancient Mesopotamian Musical Fragment",Michael Levy,6fmJVghYkjAp7aJxFi6ALx,2023-10-24T03:02:32Z,1214496633,338
Mindful Solutionism,Aesop Rock,2oET5wngczW7vMQEwRTmyv,2023-11-28T02:37:57Z,1214496633,214
Daddy Is the Devil,Freak Injection,5UKBAgGHsQZspWeMu5Wzpw,2023-12-23T04:33:47Z,1214496633,291
Labyrinth (feat. Miyoki),"Trivecta, Miyoki",4hW5HpRTZLPKwPUgPSq8Ue,2023-12-31T19:58:09Z,1214496633,332
Twiddles,Misbehavin' Maidens,4K7JjISYcnKKPVkfn9JhP0,2024-01-19T23:37:03Z,1214496633,191
Metallicai (Deliverance Rides),Kirt Connor,0mN1bib6bNedDOts8y9AoO,2024-01-26T19:03:25Z,1214496633,193
Leaves And Lemons,Patty Gurdy,6kIGhViWKlbQFtkysumnsn,2024-03-09T23:00:53Z,1214496633,199
White Rabbit,Emilíana Torrini,15rQdS4c80guV3B0s8THJL,2024-05-15T23:24:03Z,1214496633,307
AGI and the EMH,"The Fooming Shoggoths, Basil Halperin, J. Zachary Mazlish, Trevor Chow",2LQB7SLcK6B7YPrkyGxrqC,2024-06-17T00:25:23Z,1214496633,138
The Pussycat Song - Single (In the Style of Connie Vannett) [Performance Track with Demonstration Vocals],Done Again,1EpNXWGAmXUuxcpLHtlbH3,2024-07-04T22:26:10Z,1214496633,166
The Drunk,Kiltro,0kFyW7WTkSIRRxIVKC2fVH,2024-07-22T16:22:01Z,1214496633,200
