name,artist,id,added_at,added_by
Build Me Up Buttercup - Stereo,The Foundations,3jOcxAHwrs4zNFTemYfrHK,2021-06-10T22:01:38Z,g1no50gw9sai3vjo8acpfa9sc
Crazy Little Thing Called Love - Remastered 2011,Queen,35ItUJlMtjOQW3SSiTCrrw,2021-06-10T22:01:45Z,g1no50gw9sai3vjo8acpfa9sc
Get Lucky (feat. Pharrell Williams and Nile Rodgers),"Daft Punk, Pharrell Williams, Nile Rodgers",69kOkLUCkxIZYexIgSG8rq,2021-06-10T22:03:36Z,g1no50gw9sai3vjo8acpfa9sc
Don't Start Now,Dua Lipa,3PfIrDoz19wz7qK7tYeu62,2021-06-10T22:03:41Z,g1no50gw9sai3vjo8acpfa9sc
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,2021-06-10T22:04:52Z,g1no50gw9sai3vjo8acpfa9sc
Hooked On A Feeling,"Blue Swede, Björn Skifs",6Ac4NVYYl2U73QiTt11ZKd,2021-06-10T22:05:19Z,g1no50gw9sai3vjo8acpfa9sc
Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,2021-06-10T22:06:25Z,g1no50gw9sai3vjo8acpfa9sc
Poker Face,Lady Gaga,5R8dQOPq8haW94K7mgERlO,2021-06-10T22:06:36Z,g1no50gw9sai3vjo8acpfa9sc
Loser,Beck,5PntSbMHC1ud6Vvl8x56qd,2021-06-10T22:06:54Z,g1no50gw9sai3vjo8acpfa9sc
Icky Thump,The White Stripes,2LMq1O0NiqGhPOlXo3McYQ,2021-06-10T22:07:01Z,g1no50gw9sai3vjo8acpfa9sc
Fell In Love With a Girl,The White Stripes,21Qsj3cMVCx2xF2EVVNbEu,2021-06-10T22:07:07Z,g1no50gw9sai3vjo8acpfa9sc
Say It Ain't So,Weezer,6VoIBz0VhCyz7OdEoRYDiA,2021-06-10T22:07:21Z,g1no50gw9sai3vjo8acpfa9sc
Sk8er Boi,Avril Lavigne,00Mb3DuaIH1kjrwOku9CGU,2021-06-10T22:07:45Z,g1no50gw9sai3vjo8acpfa9sc
Girlfriend,Avril Lavigne,45hOioMDJktr86iKDHC8gr,2021-06-10T22:08:02Z,g1no50gw9sai3vjo8acpfa9sc
X Gon' Give It To Ya,DMX,1zzxoZVylsna2BQB65Ppcb,2021-06-10T22:08:05Z,g1no50gw9sai3vjo8acpfa9sc
I Gotta Feeling,Black Eyed Peas,4vp2J1l5RD4gMZwGFLfRAu,2021-06-10T22:08:20Z,g1no50gw9sai3vjo8acpfa9sc
Somebody Told Me,The Killers,7HGTkn2aX7MNdKs7nV2xBt,2021-06-10T22:08:36Z,g1no50gw9sai3vjo8acpfa9sc
Are You Gonna Be My Girl,Jet,305WCRhhS10XUcH6AEwZk6,2021-06-10T22:08:46Z,g1no50gw9sai3vjo8acpfa9sc
American Idiot,Green Day,6nTiIhLmQ3FWhvrGafw2zj,2021-06-10T22:09:03Z,g1no50gw9sai3vjo8acpfa9sc
Stacy's Mom,Fountains Of Wayne,27L8sESb3KR79asDUBu8nW,2021-06-10T22:10:08Z,g1no50gw9sai3vjo8acpfa9sc
The Middle,Jimmy Eat World,6GG73Jik4jUlQCkKg9JuGO,2021-06-10T22:10:16Z,g1no50gw9sai3vjo8acpfa9sc
Just A Girl,No Doubt,5lWRaa0fBxDE5yU91npPq7,2021-06-10T22:10:48Z,g1no50gw9sai3vjo8acpfa9sc
Just a Friend,Biz Markie,3yNVfRQlUPViUh8O2V9SQn,2021-06-10T22:10:53Z,g1no50gw9sai3vjo8acpfa9sc
Semi-Charmed Life,Third Eye Blind,42et6fnHCw1HIPSrdPprMl,2021-06-10T22:12:36Z,g1no50gw9sai3vjo8acpfa9sc
My Own Worst Enemy,Lit,33iv3wnGMrrDugd7GBso1z,2021-06-10T22:13:25Z,g1no50gw9sai3vjo8acpfa9sc
The Way You Used To Do,Queens of the Stone Age,52LL3IFB8N3PaJmoZ8Xii1,2021-06-10T22:13:33Z,g1no50gw9sai3vjo8acpfa9sc
Here It Goes Again,OK Go,1pHP4JeQV9wDx87D6qH9hD,2021-06-10T22:13:53Z,g1no50gw9sai3vjo8acpfa9sc
Get Over It,OK Go,0SLOiJClXkAZluClYpke95,2021-06-10T22:14:07Z,g1no50gw9sai3vjo8acpfa9sc
All Eyes On Me,Bo Burnham,3rV5y8rcQrwRt9fWGLmjOQ,2021-06-10T22:14:25Z,g1no50gw9sai3vjo8acpfa9sc
Buddy Holly,Weezer,3mwvKOyMmG77zZRunnxp9E,2021-06-10T22:14:38Z,g1no50gw9sai3vjo8acpfa9sc
Rich Girl,Daryl Hall & John Oates,0qRR9d89hIS0MHRkQ0ejxX,2021-06-10T22:15:27Z,g1no50gw9sai3vjo8acpfa9sc
Don't Stop Me Now,Queen,3lrNq7iGL5r3KS93YiKAbC,2021-06-10T22:18:42Z,g1no50gw9sai3vjo8acpfa9sc
Heat Waves,Glass Animals,6CDzDgIUqeDY5g8ujExx2f,2021-06-10T22:18:46Z,g1no50gw9sai3vjo8acpfa9sc
Animal,Neon Trees,1fBl642IhJOE5U319Gy2Go,2021-06-10T22:19:32Z,g1no50gw9sai3vjo8acpfa9sc
The Sweet Escape,"Gwen Stefani, Akon",66ZcOcouenzZEnzTJvoFmH,2021-06-10T22:20:14Z,g1no50gw9sai3vjo8acpfa9sc
