name,artist,id,added_at,added_by
Erasure,Superchunk,4cqUHsPu5TWbC3XlordUvv,2018-04-11T19:05:01Z,1250869163
Amsterdam,Peter Bjorn and John,0MnVD7YNcPKiqayEUBDnve,2018-04-11T19:08:06Z,1250869163
Elephant,Tame Impala,5bSZ7X47NVL7hPO3a4HpF1,2018-04-11T19:08:26Z,1250869163
Next Stop,Bleached,5hfbRY5gVE3FlEriQrdmdP,2018-04-11T19:08:57Z,1250869163
Fast Eddie,Twin Peaks,59DbELPbVbMZbc94MS6Jge,2018-04-11T19:09:17Z,1250869163
I Follow You,Melody's Echo Chamber,77IywFOJxAk4uwdIss1Qsr,2018-04-11T19:10:07Z,1250869163
Glendale Junkyard,Gøggs,63MnEQp9w2NGwNczUPIEvH,2018-04-11T19:10:43Z,1250869163
Sunderberry Dream,Fuzz,0HRMDCDRLt8YYzAKpKkcwx,2018-04-11T19:11:32Z,1250869163
Small Talks,Liza Anne,2UnB1yCztgamRCr2ZwR85y,2018-04-11T19:12:24Z,1250869163
Plank,Meatbodies,47NLFVzMNcYjyyYXj9Lk7o,2018-04-11T19:19:11Z,1250869163
Cool Slut,Chastity Belt,41AlRJniGbvQ8chU2xOp8z,2018-04-11T19:15:33Z,1250869163
People Move Along,Pipe-eye,6QeLDWT05l32dFRpWC26Ip,2018-04-11T19:16:25Z,1250869163
Raising the Skate,Speedy Ortiz,2K7SbbSN9r1zUKHk0t9Dqv,2018-04-11T19:19:22Z,1250869163
This Mystic Decade,Hot Snakes,0ooa3tAdmal39jsFgr1ZsH,2018-04-11T19:23:29Z,1250869163
Fun,Speedy Ortiz,4jci5zpDMj9v6BkMg8Yy5M,2018-04-11T19:23:49Z,1250869163
Two,Meatbodies,7bTObOCv3SnJTr0hiafrxT,2018-04-11T19:27:46Z,1250869163
Gum Drop,Heaters,7HA4h3i2gOL4j1sxppDK80,2018-04-11T19:28:14Z,1250869163
