name,artist,id,added_at,added_by,length_seconds
Maneater,Daryl Hall & John Oates,6mwZS6fLcQP1wKv3HN3OcY,2020-11-05T02:27:04Z,eeb32dju7dk207ozmbvia3nut,264
Buttercup,Hippo Campus,6iCJCZqDJjmBxt07Oid6FI,2020-11-05T02:14:14Z,eeb32dju7dk207ozmbvia3nut,226
Western Kids,Hippo Campus,4NzZbRu1J9V5KrH2ZFs3O4,2020-11-05T01:09:34Z,eeb32dju7dk207ozmbvia3nut,194
Elephant Boys - Demo,Hippo Campus,3SB7kIGr58HFNTHMoOnHK6,2020-11-05T01:09:57Z,eeb32dju7dk207ozmbvia3nut,274
Chapstick - Demo,Hippo Campus,7LHfH5NwvTvaUOavdgMSEl,2020-11-05T01:09:57Z,eeb32dju7dk207ozmbvia3nut,198
Bambi,Hippo Campus,5dmPNuHmRRJuHmJTDa7NuJ,2020-11-05T01:10:32Z,eeb32dju7dk207ozmbvia3nut,194
Honestly,Hippo Campus,6MtIerVDZGoo78DJqT4HoJ,2020-11-05T01:13:58Z,eeb32dju7dk207ozmbvia3nut,158
Every Single Night,password:password,7wdriMSiukivO90MfDoUF1,2020-11-05T01:14:40Z,eeb32dju7dk207ozmbvia3nut,248
"Prune, You Talk Funny",Gus Dapperton,6KKHXbJtnJPjla3V49YPac,2020-11-05T02:13:50Z,eeb32dju7dk207ozmbvia3nut,212
Doubt,Hippo Campus,1eMBtkX7Ae4WHoKyMRn4wQ,2020-11-05T02:14:31Z,eeb32dju7dk207ozmbvia3nut,193
Delta,C2C,32XguVXAL8XdpVuEygw0nM,2020-11-05T02:16:08Z,eeb32dju7dk207ozmbvia3nut,224
Throw Shade,CRUISR,3dXjAh7UEuCJnLIeFKNkxd,2020-11-05T02:16:31Z,eeb32dju7dk207ozmbvia3nut,172
still feel.,half•alive,60T6dfF5Q7KL2ujEefzoCE,2020-11-05T02:16:48Z,eeb32dju7dk207ozmbvia3nut,247
All Over,CRUISR,7IDKIfRltN07TdsdTVtRHh,2020-11-05T02:17:03Z,eeb32dju7dk207ozmbvia3nut,182
All These Things That I've Done,The Killers,0kYUrLVQOfx21xuXu7OGrT,2020-11-05T02:17:42Z,eeb32dju7dk207ozmbvia3nut,301
Giving Up The Gun,Vampire Weekend,44WZJJnhlIMwARyEjigVRz,2020-11-05T02:18:18Z,eeb32dju7dk207ozmbvia3nut,286
Dashboard,Modest Mouse,0Fe3WxeO6lZZxj7ytvbDUh,2020-11-05T02:18:41Z,eeb32dju7dk207ozmbvia3nut,246
Carry Me,Crooks & Nannies,5Nwsp5AqI7dbAtPUmwgJ7G,2020-11-05T02:19:26Z,eeb32dju7dk207ozmbvia3nut,187
Just Exist,Eliza & The Delusionals,7Hzt5M3AYK5QuSGYBQqPhB,2020-11-05T02:19:39Z,eeb32dju7dk207ozmbvia3nut,237
Brighter End of Dark,De Lux,3syzBSEmedezNMaO9DVrDH,2020-11-05T02:20:12Z,eeb32dju7dk207ozmbvia3nut,393
Sour Candy,Melt,5gRCBF8BbbQA4M7wRFjqxg,2020-11-05T02:20:25Z,eeb32dju7dk207ozmbvia3nut,295
Birds Dont Sing,TV Girl,0V34LU5aBA3hYgq178hFFY,2020-11-05T02:20:41Z,eeb32dju7dk207ozmbvia3nut,209
Destruction,Joywave,2iLxXSM7AOzB4RCNzk4bjd,2020-11-05T02:21:10Z,eeb32dju7dk207ozmbvia3nut,184
Huggin & Kissin,Big Black Delta,5ogtb9bGQoH8CjZNxmbNHR,2020-11-05T02:21:43Z,eeb32dju7dk207ozmbvia3nut,265
Came Out of a Lady,Rubblebucket,0b1WDEm8pNMoSGa3Je0sqW,2020-11-05T02:23:03Z,eeb32dju7dk207ozmbvia3nut,275
The Bait,Electric Guest,4STHXpVUUMg4OEXrGLsiUr,2020-11-05T02:23:29Z,eeb32dju7dk207ozmbvia3nut,186
Take A Slice,Glass Animals,37adYGaYaAWTGhBaOzX4Fh,2020-11-05T02:24:06Z,eeb32dju7dk207ozmbvia3nut,229
Hard to Kill,Bleached,2W830GhisPFzMAZOlKNBcY,2020-11-05T02:26:43Z,eeb32dju7dk207ozmbvia3nut,206
Take That,CRUISR,0HbbEDAkMcOxj6DUk8vLg7,2020-11-05T02:27:13Z,eeb32dju7dk207ozmbvia3nut,200
Next Year - RAC Remix,"Two Door Cinema Club, RAC",5SL5AexE9va7cP6s0B9E4m,2020-11-05T02:27:23Z,eeb32dju7dk207ozmbvia3nut,286
Friends,Sure Sure,0aPX1AXz8Tp51Nak6B04ij,2020-11-05T02:27:45Z,eeb32dju7dk207ozmbvia3nut,167
Don't Go,The Greeting Committee,4nz6Mx9m84P6Cn4cJp2BJR,2020-11-10T00:35:00Z,eeb32dju7dk207ozmbvia3nut,246
A Selfish Man,Francis Lung,23Rw9RNte4NUfMyW5u0UV1,2020-11-11T17:09:10Z,eeb32dju7dk207ozmbvia3nut,374
Automate Your Soul,The Derevolutions,3CsgXm9ymp2O0gPbiLoW8d,2020-11-17T06:57:20Z,eeb32dju7dk207ozmbvia3nut,183
Strangers,Psychic Twin,51Tv90sgoleRP8MHo2KUgF,2020-12-06T21:16:22Z,eeb32dju7dk207ozmbvia3nut,290
Pull It Together,The Greeting Committee,35eaAFEnGP3ONlRVcgTJs9,2020-12-06T21:16:22Z,eeb32dju7dk207ozmbvia3nut,219
About,Another Michael,0PlQo4NBRPQ2JOGVICEClg,2020-12-06T21:16:51Z,eeb32dju7dk207ozmbvia3nut,167
,Unknown Artist,7cneuh5BMBbqbbGrpqTDHQ,2020-12-06T22:52:20Z,eeb32dju7dk207ozmbvia3nut,0
Juice,Lizzo,0k664IuFwVP557Gnx7RhIl,2021-01-12T16:27:10Z,eeb32dju7dk207ozmbvia3nut,195
Norgaard,The Vaccines,1Q8reqCOXg2yqNr47HGo9X,2021-03-01T21:25:11Z,eeb32dju7dk207ozmbvia3nut,98
D.A.N.C.E,Justice,33yAEqzKXexYM3WlOYtTfQ,2021-02-04T00:51:39Z,eeb32dju7dk207ozmbvia3nut,242
Witchcraft,Graveyard Club,2wQAEmgV0jsrmCHFpQgIS3,2021-03-03T19:45:16Z,eeb32dju7dk207ozmbvia3nut,237
"Fight The Power - From ""Do The Right Thing"" Soundtrack",Public Enemy,6lrs0IVK1i7SsVXxYW3IUG,2021-02-17T18:26:21Z,eeb32dju7dk207ozmbvia3nut,323
Soul Flower - Remix,The Pharcyde,0qNnE0beu4OfHk8Txa3vGt,2021-02-19T05:03:44Z,eeb32dju7dk207ozmbvia3nut,263
Age of Consent - 2015 Remaster,New Order,2EEinN4Zk8MUv4OQuLsTBj,2021-03-04T23:02:51Z,eeb32dju7dk207ozmbvia3nut,315
Blue Monday '88 - 2015 Remaster,New Order,3PQEaRs2JEwtk79IqbQYt1,2021-03-04T23:02:51Z,eeb32dju7dk207ozmbvia3nut,251
Stayin Alive,Bee Gees,5ubvP9oKmxLUVq506fgLhk,2021-03-14T16:36:14Z,eeb32dju7dk207ozmbvia3nut,285
Psychonaut,Mr. Gnome,7qZMZ8cOZYGNCpzfIe8xtt,2021-03-15T23:34:01Z,eeb32dju7dk207ozmbvia3nut,290
If I Were You,Claud,3969SSvdzruBOww4xbdgwB,2021-05-03T22:58:12Z,eeb32dju7dk207ozmbvia3nut,171
Endless Memory,The Lightning Year,5wDe170D8qVkJnRzANqh82,2020-11-05T02:24:33Z,eeb32dju7dk207ozmbvia3nut,214
Sunder,Hibou,2bb6xgxu1sevom4tn6OBSq,2021-01-12T03:02:27Z,eeb32dju7dk207ozmbvia3nut,199
Hometown,Nature TV,5cgB9o3llPiEDWVE9qhqWB,2021-04-09T04:12:40Z,eeb32dju7dk207ozmbvia3nut,222
The Beat Comes,Snowden,6NwXMGXpxTnCTqw6Y1KP3A,2021-05-28T15:59:00Z,eeb32dju7dk207ozmbvia3nut,274
Coming Back,Scenic Route to Alaska,59VSOfzU8pWXYY9NUPsEGi,2021-06-02T03:08:01Z,eeb32dju7dk207ozmbvia3nut,242
Heaven's On Fire,The Radio Dept.,3gbV4nxQg7AGMwJjie8cUe,2021-07-04T15:23:26Z,eeb32dju7dk207ozmbvia3nut,212
Dance In Room Song,Sipper,52sDdbKEy6OQbv36sU2lSD,2021-07-31T04:10:21Z,eeb32dju7dk207ozmbvia3nut,171
sore,Sipper,7vUgOE1PE39ORLkoGg8b82,2022-06-18T04:12:12Z,eeb32dju7dk207ozmbvia3nut,174
Fuck June,Sipper,61cZbaHzxpJzj3xy7aMD8u,2022-06-18T04:12:12Z,eeb32dju7dk207ozmbvia3nut,178
Harvey,Her's,1zFbBrZmJr1Z49HYe84dBg,2021-07-19T15:13:22Z,eeb32dju7dk207ozmbvia3nut,211
Carl Sagan,Night Moves,24GCf1A4pOTEDDcBponpjn,2021-09-12T05:55:32Z,eeb32dju7dk207ozmbvia3nut,232
I Wonder,Bay Ledges,67Yhm2ETGWtux2D6pJnJcX,2021-09-15T03:19:22Z,eeb32dju7dk207ozmbvia3nut,196
City Kitty,French Cassettes,7hyXvklwSf9ceS0EpV6ial,2021-09-23T23:19:02Z,eeb32dju7dk207ozmbvia3nut,216
Bored Again!,"Buddy Ross, Gabriel Delicious",3ufH99mUTvwXajptLNsPQi,2021-09-13T04:10:21Z,eeb32dju7dk207ozmbvia3nut,258
Дома Молчат,Molchat Doma,0aR5pCYZiKgkZxoCAcBjiR,2021-06-06T17:30:08Z,eeb32dju7dk207ozmbvia3nut,176
Судно (Борис Рижий),Molchat Doma,6DONTnamNDOJdO6DzCu71p,2021-06-06T17:30:10Z,eeb32dju7dk207ozmbvia3nut,141
All Night,Pure Bathing Culture,32gddWNCK7qBbKEe39YxPe,2021-06-14T20:50:54Z,eeb32dju7dk207ozmbvia3nut,191
Keep Moving,Jungle,6a88fc0zSrVWGPdoj445nJ,2021-06-22T22:32:13Z,eeb32dju7dk207ozmbvia3nut,240
Time,Jungle,71SG2UUnm6rQNFrFEasxyi,2021-06-22T22:33:13Z,eeb32dju7dk207ozmbvia3nut,213
Heavy,POWERS,0OBIHrjv88N4SEtf2INos5,2021-08-04T04:47:03Z,eeb32dju7dk207ozmbvia3nut,234
Landscape,Future Generations,7ylzSN6xz3LaHiCeJHVF9y,2021-08-13T12:25:51Z,eeb32dju7dk207ozmbvia3nut,198
Pressure To Party,Julia Jacklin,5Wyy2JHaM8cKEN6YDC6C8O,2021-08-14T13:18:36Z,eeb32dju7dk207ozmbvia3nut,182
Metamodernity (Audiotree Live Version),Vansire,6VrBUabOvaxAgCPv36jHoh,2021-08-22T00:11:42Z,eeb32dju7dk207ozmbvia3nut,239
Your Light,The Big Moon,1oA9hE3IxT8moluIvq9Uc8,2021-09-15T03:19:27Z,eeb32dju7dk207ozmbvia3nut,307
Candy Wrappers,Summer Salt,2WrzwxqDxBWcWYkk9DAJ9j,2021-09-15T03:19:33Z,eeb32dju7dk207ozmbvia3nut,194
Somebody Else,Pynch,2Kray2Kft9TnDb0Rhkfc5p,2021-10-09T03:42:04Z,eeb32dju7dk207ozmbvia3nut,331
Fences,Magic Bronson,40D59FkmDbyOHJr7XplDt5,2021-10-20T16:19:32Z,eeb32dju7dk207ozmbvia3nut,219
Killshot,Magdalena Bay,0LJTfmgOMvlLd0u4HU9twm,2021-12-09T05:47:53Z,eeb32dju7dk207ozmbvia3nut,236
the-luxary-elite,Unknown Artist,,2021-12-19T05:10:10Z,eeb32dju7dk207ozmbvia3nut,169
Kiss You Goodbye,Bleached,2Q3PtvWGDqCF1Aw5eGJRI0,2022-04-22T16:57:57Z,eeb32dju7dk207ozmbvia3nut,195
It's Called: Freefall,Rainbow Kitten Surprise,474uVhyGgK5MtY9gMcDgGl,2022-07-05T06:11:52Z,eeb32dju7dk207ozmbvia3nut,152
The Hustle,Kiltro,7qtuP1pjkDOw0BNyBaCu6t,2022-07-05T06:12:03Z,eeb32dju7dk207ozmbvia3nut,236
You Spin Me Round (Like a Record),Dead Or Alive,0BB9eUBBaaX6GALSYNcEp7,2022-08-06T03:47:12Z,eeb32dju7dk207ozmbvia3nut,196
Capitol Tropical,Two Man Sound,3Yu9FO8kA6nuSb2snUyLx8,2022-08-19T22:37:43Z,eeb32dju7dk207ozmbvia3nut,288
Even When The Water's Cold,!!!,2UjEyfnKzaY7qpBEeESJjv,2023-01-01T19:13:41Z,eeb32dju7dk207ozmbvia3nut,227
Real Love Baby,The Heavy Heavy,5UChPKbbKFkbuQKicha00m,2023-11-08T05:15:44Z,eeb32dju7dk207ozmbvia3nut,183
