name,artist,id,added_at,added_by,length_seconds
Bloodsport,"Skold, KMFDM",6UzbCEoThoNe8Upe4sn3Us,2020-01-26T08:06:26Z,1214496633,306
STILLBIRTH,Alice Glass,3RiJ5DlwJNnGuV2zDqUw90,2020-01-26T08:15:28Z,1214496633,167
Ich will,Rammstein,1SlMYQmLe0yNEvBIfaPTAW,2020-01-26T22:28:04Z,1214496633,217
Adrenaline,Shinedown,5oJrV0mGkw9dilk96X3W0c,2020-01-26T22:38:57Z,1214496633,206
Self-Immolate,King Gizzard & The Lizard Wizard,6BSstu7y08lkJT5dNlEOkN,2020-03-05T01:34:35Z,1214496633,268
20 Ways to Kill Someone,Phosgore,4LoEvgTcsLYNiDVKAN5C5a,2020-03-05T18:27:16Z,1214496633,216
Talk Sick,Orgy,0FQHY5Ft5PgRk19lJH7elI,2020-03-05T18:34:47Z,1214496633,208
Angel Of Death,Slayer,61dTqhd46yMkSWmC5LAh5F,2020-03-06T00:54:42Z,1214496633,291
Der Rote Reiter - Volcano Remix,"Die Apokalyptischen Reiter, Volcano",3YIOEQ22oiqfExK5HW9Iru,2020-04-07T17:17:13Z,1214496633,249
Resentment,A Day To Remember,57yI1u6t6cFXbjgjQcRHug,2020-04-12T01:20:11Z,1214496633,227
Let's Get Ready to Rumble,Exomorph,2iYePLKemR3WiCCJOI6zZA,2020-08-26T19:06:31Z,1214496633,161
Ostfront,Centhron,4jPaEJPWvLuJcUDAniphOT,2020-09-25T13:58:26Z,1214496633,204
Uprising,Flesh Field,2QP2Ys8y8FCZsbum8h7fhQ,2021-01-10T07:27:46Z,1214496633,363
Superhot,Zardonic,6Medv8GdopmXC8eSfI21eP,2021-09-05T02:35:48Z,1214496633,74
Scorched Earth,Kevin Riepl,1JWovkG0H5yHYNghlRNoeM,2022-02-12T20:36:50Z,1214496633,135
