name,artist,id,added_at,added_by,length_seconds
circle the drain,Soccer Mommy,2drtd6SptpMJ1KylMQ7mrE,2020-10-03T16:56:30Z,eeb32dju7dk207ozmbvia3nut,280
bloodstream,Soccer Mommy,3VJ8JnA1femj0x5KCcfBpT,2020-10-03T16:57:19Z,eeb32dju7dk207ozmbvia3nut,337
Pristine,Snail Mail,4UADR6fNQfx4fxkiRQvSy2,2020-10-03T16:57:38Z,eeb32dju7dk207ozmbvia3nut,295
Heat Wave,Snail Mail,43E0f1S0rOGCo6YYRYHjHP,2020-10-03T16:57:38Z,eeb32dju7dk207ozmbvia3nut,308
Speaking Terms,Snail Mail,2ystHinBjK639vcRANDFaL,2020-10-03T16:57:38Z,eeb32dju7dk207ozmbvia3nut,233
Thinning,Snail Mail,12Eg39q87Bi9FN99roiI11,2020-10-03T16:57:38Z,eeb32dju7dk207ozmbvia3nut,203
Full Control,Snail Mail,20TfGN3X3b2hP861CVfzci,2020-10-03T16:57:38Z,eeb32dju7dk207ozmbvia3nut,175
The 2nd Most Beautiful Girl In The World,Snail Mail,2h3vNz33eXUaiKB9xkxrvR,2020-10-03T16:57:38Z,eeb32dju7dk207ozmbvia3nut,133
Bowery and Bleaker,Mandala,38xPdnXmtX8j9QG0MmtHoi,2020-10-03T16:57:48Z,eeb32dju7dk207ozmbvia3nut,218
Heavy Sleeper,Mandala,5ivXovSk2azBtRKrhTsggw,2020-10-03T16:57:48Z,eeb32dju7dk207ozmbvia3nut,348
David Brown,Mandala,6SiZNPXl2V2DmhSsVHg7xl,2020-10-03T16:57:48Z,eeb32dju7dk207ozmbvia3nut,246
She Don't Mind,Mandala,7HcsApNFYN2TxaT1i9lTdg,2020-10-03T16:57:48Z,eeb32dju7dk207ozmbvia3nut,282
Only in the Fall,Mandala,1JWJQPCLCJpUsSRhe0JGEV,2020-10-03T16:57:48Z,eeb32dju7dk207ozmbvia3nut,203
Waiting Here for You,Mandala,2Zsko59Tt24a3aPjFe0LIo,2020-10-03T16:57:52Z,eeb32dju7dk207ozmbvia3nut,245
Prom Queen,Beach Bunny,6MpCaSIOfqBqbMED4kXgNY,2020-10-03T16:58:51Z,eeb32dju7dk207ozmbvia3nut,136
GDP,Remember Sports,3i4h0ZYIqqcpadcDzkLjBa,2020-10-03T16:59:05Z,eeb32dju7dk207ozmbvia3nut,120
Get Bummed Out,Remember Sports,0P76vBxBv4Euqs2ez6TQRw,2020-10-03T16:59:05Z,eeb32dju7dk207ozmbvia3nut,144
Reality TV,Remember Sports,1YTSOkq0yol04I2Y9rtIFF,2020-10-03T16:59:05Z,eeb32dju7dk207ozmbvia3nut,135
Getting On in Spite of You,Remember Sports,19B1eAPA6XH8CNhgx7ZtYh,2020-10-03T16:59:05Z,eeb32dju7dk207ozmbvia3nut,169
Saturday,Remember Sports,5hWWCPkUCHXvSPATxwvkCH,2020-10-03T16:59:05Z,eeb32dju7dk207ozmbvia3nut,73
Lydia,Chastity Belt,6gJsQfX7BgqgH6g15PauH5,2020-10-03T16:59:31Z,eeb32dju7dk207ozmbvia3nut,239
Seattle Party,Chastity Belt,3OHdhLUobIIKskQHLJAaqe,2020-10-03T16:59:36Z,eeb32dju7dk207ozmbvia3nut,276
Different Now,Chastity Belt,0MmfbKh3xAfoX0I1OGIxC4,2020-10-03T16:59:44Z,eeb32dju7dk207ozmbvia3nut,228
Cool Slut,Chastity Belt,01xii9km4yIWSzpap2lQUY,2020-10-03T16:59:59Z,eeb32dju7dk207ozmbvia3nut,171
Joke,Chastity Belt,5kOSvyjLisnp8AB7dU2D4X,2020-10-03T17:01:40Z,eeb32dju7dk207ozmbvia3nut,332
In Other Words,Shopping,10he6VQJ3nYdpxD7mAOO5S,2020-10-04T14:27:44Z,eeb32dju7dk207ozmbvia3nut,192
The Hype,Shopping,7zgfVkrjf2B9qWE1CUaXyr,2020-10-04T14:27:59Z,eeb32dju7dk207ozmbvia3nut,235
Wild Child,Shopping,58ac9nnTVsVfqzsF3mPTml,2020-10-04T14:28:17Z,eeb32dju7dk207ozmbvia3nut,142
Your Dog,Soccer Mommy,3BpUZB0tw4zNmG3Iw1mclL,2020-10-05T19:20:19Z,eeb32dju7dk207ozmbvia3nut,194
Don't Go,The Greeting Committee,4nz6Mx9m84P6Cn4cJp2BJR,2020-10-05T20:22:09Z,eeb32dju7dk207ozmbvia3nut,246
"Scott Get the Van, I'm Moving",Cayetana,3hkp5yWJ6Y9ChmaNeZGpiJ,2020-10-07T00:52:38Z,eeb32dju7dk207ozmbvia3nut,166
Not Your Kind Of People,Garbage,6YO4a8hliYuF9FefolWOLX,2020-10-08T03:08:41Z,eeb32dju7dk207ozmbvia3nut,297
Survival,Adult Mom,5PdRcMiDLNla6f1N36VLlU,2020-10-09T14:34:20Z,eeb32dju7dk207ozmbvia3nut,169
"Siri, Open Tinder",Childbirth,5AJfahYQ4mbhVMhYFznHVR,2020-10-10T01:47:04Z,eeb32dju7dk207ozmbvia3nut,137
Rebel Girl,Bikini Kill,0XyjtybwqSdqMAFfBEkmZf,2020-10-10T04:19:26Z,eeb32dju7dk207ozmbvia3nut,157
Romantic,Mannequin Pussy,6NBztDsn7hcWhUJSick8oD,2020-10-10T05:33:50Z,eeb32dju7dk207ozmbvia3nut,159
