name,artist,id,added_at,added_by
Get Well,Icon For Hire,7pQPvZc47B3ztdOCWNnYiY,2019-02-11T09:29:39Z,1214496633
Fight,Icon For Hire,5N6RmclvG5ionSwdVZx9du,2019-02-11T09:29:39Z,1214496633
Off With Her Head,Icon For Hire,4nPI6aIrHaMNZbF2q8NfpX,2019-02-11T09:29:39Z,1214496633
Make A Move,Icon For Hire,0FtD1ZukwCnuTfTNuwxrQM,2019-02-11T09:29:39Z,1214496633
Theatre,Icon For Hire,2wLAQX04prpAnTHlrL7YIh,2019-02-11T09:29:39Z,1214496633
Iodine,Icon For Hire,4e9q4IOVPahDk2B2Og1Fuc,2019-02-11T09:29:39Z,1214496633
Bite Your Kiss,DIAMANTE,5QsheJokkVxMHE560aBZJN,2019-02-11T09:29:39Z,1214496633
Here Come the Vultures,Delain,4p3fcPG5W9I8wAEelIB3k2,2019-02-11T09:29:39Z,1214496633
Up In Flames,Icon For Hire,5YnXMt6T8p6DT8Zpcb7O4e,2019-02-11T09:29:39Z,1214496633
I Do Coke,"Kill The Noise, Feed Me",3PvhJcV5xv7E1ImIfbRYeM,2019-02-11T09:29:39Z,1214496633
So Far Away,Phaeleh,5lNtTEyUaqcVcoSjWFaP5x,2019-02-11T09:29:39Z,1214496633
Cut the Cord,Shinedown,4LFBVDJV0xpayUvquQVzhS,2019-02-11T09:29:39Z,1214496633
Apocalyptic,Halestorm,4DveRhd1VBtZyPodE3sbLj,2019-02-11T09:29:39Z,1214496633
Under a Violet Moon,Blackmore's Night,2WpmMlS6Tr01C7UNFjQI3U,2019-02-11T09:29:39Z,1214496633
Arabesque,Nightwish,614LGFbQonC9RERciASWo2,2019-02-11T09:29:39Z,1214496633
Love Me Or Hate Me,Lady Sovereign,4OikxHAgM14El0wQIyyhP8,2019-02-11T09:29:39Z,1214496633
Reagan,Killer Mike,2HRYa6iG1M5DRefO8pK2I3,2019-02-11T09:29:39Z,1214496633
Sweet Talk,Kito & Reija Lee,5antpYCYHhmqud6nMbnQdl,2019-02-11T09:29:39Z,1214496633
The Promise,Globus,67EpBcOrnLF52quQ4zaQb4,2019-02-11T09:29:39Z,1214496633
Byker Hill,The Cottars,0OA0PLevHqZKASKxEQ4Nye,2019-02-11T09:29:39Z,1214496633
I Love Rock 'N Roll,Joan Jett & the Blackhearts,2Cdvbe2G4hZsnhNMKyGrie,2019-02-11T09:29:39Z,1214496633
An Ordinary Abnormality,Amaranthe,3sZffWnd1yuYEEGylNJpgo,2019-02-11T09:29:39Z,1214496633
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach, Yo-Yo Ma",61dYvvfIRtIDFuqZypPAta,2019-02-11T09:29:39Z,1214496633
Danger Zone,Amaranthe,7kkNY7oiD6O1LliNRVN45A,2019-02-11T09:29:39Z,1214496633
Unreal,Amaranthe,6SMYAOu0jLMFpFzY1oSQgt,2019-02-11T09:29:39Z,1214496633
Massive Addictive,Amaranthe,40h2t9fESF5Ws6s8hA5KMh,2019-02-11T09:29:39Z,1214496633
Drop Dead Cynical,Amaranthe,5VToMJACRoeT0YZNs5CYyp,2019-02-11T09:29:39Z,1214496633
Skibidi,Little Big,4F4TGsDYacEbw4PLAIyJ2e,2019-02-11T09:29:39Z,1214496633
Brotherswing,Caravan Palace,6QPVfFJNFdIXDR28JPt870,2019-02-11T09:29:39Z,1214496633
All Due Respect,"Run The Jewels, Travis Barker",2h82pgSwoWbhiedinenqLC,2019-02-11T09:29:39Z,1214496633
Sinners,Barns Courtney,0eUgkunDciOOiao9Sjw3PW,2019-02-11T09:29:39Z,1214496633
Girl Who Cried Wolf,Ashe,1MeM5jYoe6elPPt2CgmmK7,2019-02-11T09:29:39Z,1214496633
High,Sir Sly,17aDyX39gb1iV1ZWvD1ffE,2019-02-11T09:29:39Z,1214496633
Dancer and the Moon,Blackmore's Night,,2019-02-11T09:49:59Z,1214496633
Senbonzakura,Lindsey Stirling,,2019-02-11T09:53:55Z,1214496633
Love Bites (So Do I),Halestorm,5l3gAGbkXFfPWxh4a3J8mp,2019-02-11T09:29:39Z,1214496633
