name,artist,id,added_at,added_by
Archangel,Amaranthe,63aGgWIoGfl3wxykzje8eJ,2023-11-10T14:51:12Z,1214496633
Army Of The Night,Amaranthe,73ZBTGpq0YUx4hwHzpIHif,2023-11-10T14:54:07Z,1214496633
Drop Dead Cynical,Amaranthe,3X1usZ9bRwbyEjAnkLAJWO,2023-11-10T14:54:28Z,1214496633
The Game,Amaranthe,1NnN0eOIvbpCnPLEvmRVCb,2023-11-10T14:59:54Z,1214496633
Ambiramus,Eluveitie,4wxm46qMm1P7JH1ivm1BQ2,2023-11-10T15:00:44Z,1214496633
PvP,Amaranthe,46HFTyFqLMzSye98Arqa98,2023-11-10T15:04:15Z,1214496633
Last Ride of the Day,Nightwish,6R9j9XEisGCoIE8r8UtbiS,2023-11-10T15:07:54Z,1214496633
Epona,Eluveitie,75fAndU7jHOc4iEFR0HcVe,2023-11-10T15:12:49Z,1214496633
LVGVS,Eluveitie,0Wbwg1f8lgs5Sud1Ch3ZRQ,2023-11-14T16:19:40Z,1214496633
Run Free,"Thomas Bergersen, Two Steps from Hell",38frEzNCL3xoWG2ny1bKgu,2023-11-14T16:34:48Z,1214496633
Outer Dimensions,Amaranthe,13E52tvYVKOyd7COIs1cba,2023-11-16T17:36:37Z,1214496633
Die and Wake Up,Amaranthe,1bMNT9GwEd6KoG0PNfG8GP,2023-11-16T17:45:39Z,1214496633
Raise Your Banner - Single Edit,"Within Temptation, Anders Friden",5FsTXjaLCxs40qq2UbKFI6,2023-11-16T18:07:11Z,1214496633
Planet Hell,Nightwish,4aOUcByFqMhdnMWZqUkogv,2023-11-24T23:09:27Z,1214496633
Cave Song,Pretty Vicious,2lxqOVJzuS0s1SgulAvkav,2023-12-06T16:08:30Z,1214496633
How Does It Feel?,Grandmas House,36Bf1RIqi0QbYiX8QEQmfZ,2023-12-06T16:14:21Z,1214496633
Fearless,Amaranthe,3nOOZwg5oYZQI86kPeEYrS,2023-12-10T17:21:15Z,1214496633
From Hell With Love,Beast In Black,3iKSyNDGzJ3FcjXoDKqehS,2024-01-16T15:23:30Z,1214496633
Flying With Mother,John Powell,4eyOdAZS4vxs12QcJSa68v,2024-01-19T23:39:05Z,1214496633
Fire Blood and Steel,Brothers of Metal,1KuNk1ZZPTZKwjjo1Vdw9G,2024-01-23T17:34:49Z,1214496633
Unlimited Sin,Beast In Black,2AVFBfR4LukSzUD96dbT0z,2024-01-24T15:14:52Z,1214496633
Shadow,Icon For Hire,1iFIRC1D9NnxjTwF240jZy,2024-01-24T15:23:36Z,1214496633
The Reckoning,"Within Temptation, Jacoby Shaddix",6XnPopwCZ6odHVVqMsllL5,2024-01-26T19:13:35Z,1214496633
Inferno,Amaranthe,0xzjNhWlrQ6aFDoUOAaaK2,2024-01-26T19:26:18Z,1214496633
Bannlyst,Gåte,25MNmloqJpJNx4n2jXki9T,2024-02-05T23:54:48Z,1214496633
The Catalyst,Amaranthe,4UGvNbuucQ1mCf3tiq7ZuQ,2024-03-05T13:22:24Z,1214496633
Liberated,Amaranthe,6wiBLV9Gb3wvUGg1cACZwN,2024-03-05T13:44:46Z,1214496633
Interference,Amaranthe,25xaL4ReBzHUtpSxUYdKrA,2024-03-05T13:56:35Z,1214496633
Ecstasy,Amaranthe,0RgzYi9tc4udwZA6scl5rP,2024-03-05T14:03:18Z,1214496633
Breaking the Waves,Amaranthe,7ouI0hHZc2gnSa1co754PG,2024-03-05T14:06:11Z,1214496633
Find Life,Amaranthe,1OUzbNOmSiB9mO4COf1d2l,2024-03-05T14:15:37Z,1214496633
Resistance,Amaranthe,6uwHjeMGzi33NlOL6q2Yaa,2024-03-09T22:48:40Z,1214496633
The Nexus,Amaranthe,3cSJXlpx1lAP8vGAh8mEXB,2024-03-09T23:06:12Z,1214496633
Rorke's Drift,Sabaton,2hIixlz4vIz12AwrHCh9zz,2024-03-26T14:35:37Z,1214496633
Storytime,Nightwish,1otw1I6vguSWf6Pxn9m1oC,2024-05-06T18:57:51Z,1214496633
Truth Or Dare,Emily Osment,5FuqMHyesm7ofmkMFYD7eY,2024-05-06T19:08:14Z,1214496633
Eye Of The Untold Her,Lindsey Stirling,3mfm3PSCeQsU11UGdsINED,2024-05-06T19:22:14Z,1214496633
In Taberna,Corvus Corax,3FHe6z5w5zAScjz7rrxHCH,2024-05-08T18:09:30Z,1214496633
