name,artist,id,added_at,added_by
The Final Battle,Tsukasa Saitoh,1nspl7hBhdl6W6GQzbn3V1,2023-04-06T12:24:18Z,dangreensmith
Ornstein & Smough,Motoi Sakuraba,0UZ8dfdjMEl20o9fArUr5t,2023-04-13T01:56:45Z,dangreensmith
Silver For Monsters...,"Percival Schuttenbach, Marcin Przybyłowicz",1e6i6WC1SW5w6e5u5izQ19,2023-04-13T01:50:58Z,dangreensmith
...Steel For Humans,"Percival Schuttenbach, Marcin Przybyłowicz",1asBfrlvpH0Brn6xcD7yms,2023-04-06T12:29:22Z,dangreensmith
The Trail,Marcin Przybyłowicz,4diKCx2EUg4CGvDTyCan5H,2023-04-13T02:56:47Z,dangreensmith
The Song Of The Sword-Dancer,"Percival Schuttenbach, Marcin Przybyłowicz",2k6KTdwvApSUnN0maOmIFb,2023-04-13T02:57:09Z,dangreensmith
Birth of a Wish,岡部啓一,1vLOdL2b4k7cwUyJTmr8gS,2023-04-13T02:03:26Z,dangreensmith
God of War,Bear McCreary,6ZMwwuUOx8kefl32gWOjtY,2023-04-13T01:52:07Z,dangreensmith
Deliverance,Bear McCreary,5Cg2LlfEdszEW8pH1Pcos1,2023-04-13T01:56:52Z,dangreensmith
The Dragon,Bear McCreary,3y6ok4gZSvQkDLlu89CwlO,2023-04-13T01:59:10Z,dangreensmith
Soul of Cinder,Yuka Kitamura,2AmzsY9FSPAnRFuSZkiLXm,2023-04-13T01:51:27Z,dangreensmith
One​-​Winged Angel (Final Fantasy VII),Nobuo Uematsu,7GBP9vqKB9o9wcQrkblICD,2023-04-13T02:00:13Z,dangreensmith
Weight of the World - Prelude Version,祖堅 正慶,5a5ej2F1HtCb3BX2xrz98A,2023-04-13T01:52:51Z,dangreensmith
Torn from the Heavens/The Dark Colossus Destroys All - Medley Version,祖堅 正慶,53z6vNCChujE8UaM231Xhg,2023-04-13T01:53:12Z,dangreensmith
The Worm's Tail,Masayoshi Soken,0gpp8dE6vnlLszg4uh207H,2023-04-13T02:57:37Z,dangreensmith
Stand Your Ground,Yoko Shimomura,238Owc9WvZ4HsUD57bcq8o,2023-04-13T01:54:27Z,dangreensmith
Hunt or Be Hunted,Yoko Shimomura,4mEz48ER9qCPog5uOxP6vL,2023-04-13T02:25:48Z,dangreensmith
Veiled in Black,Yoko Shimomura,0m04YC2z66cggr4VvZBUMS,2023-04-13T02:52:38Z,dangreensmith
OMNIS LACRIMA,Yoko Shimomura,4Vy8J8AAM5vzhCQnsxIqjg,2023-04-13T01:57:12Z,dangreensmith
APOCALYPSIS NOCTIS,Yoko Shimomura,21Bvy2KqGLO0f3QVgvruru,2023-04-13T02:32:58Z,dangreensmith
APOCALYPSIS AQUARIUS,Yoko Shimomura,4aPltIjGkJx26Y9cBHu14U,2023-04-13T02:02:50Z,dangreensmith
Cleric Beast,SIE Sound Team,65CefKbmaG0ZkumWSFKbxC,2023-04-13T01:56:21Z,dangreensmith
Reign of the Septims,Jeremy Soule,4QX9ua1QVyhfAWy73TtrlH,2023-04-13T01:58:17Z,dangreensmith
One They Fear,Jeremy Soule,1czhAnpBVEcFN9DTLAsfAQ,2023-04-13T01:59:36Z,dangreensmith
Vampire Killer,Castlevania Sound Team,4HXzm6IXEvVbfzEADMAVng,2023-04-13T02:02:24Z,dangreensmith
"Bloody Tears (From ""Castlevania"")",Anjer,57qXU0ZSCaRPuJwIcolFdn,2023-04-13T02:16:47Z,dangreensmith
Monster Hunter,Capcom Sound Team,1qteA4p8vKkpMkIKBmMvrl,2023-04-13T02:54:48Z,dangreensmith
Scourge of the Furies,Darren Korb,2OCOsaORs3HhmybcodGSUH,2023-04-13T02:40:34Z,dangreensmith
God of the Dead,Darren Korb,65pRSbXmrkdE1HzzIkeLPH,2023-04-06T12:27:47Z,dangreensmith
The Unseen Ones,"Darren Korb, Masahiro Aoki, daisuke kurosawa",5lfoxLv56xGnP8CDLfhA7r,2023-04-13T02:04:02Z,dangreensmith
Fallen Angel,Masayoshi Soken,5CS69gZzcV9yRwSt44mcFT,2023-04-13T02:14:21Z,dangreensmith
Torn from the Heavens,"Masayoshi Soken, FILM SCORE",2Hf5MJo5GjGwUIySaUxiLJ,2023-04-13T02:16:16Z,dangreensmith
Ultima,Masayoshi Soken,55JTlu8Uzc3v0hi2iqThiu,2023-04-13T02:22:23Z,dangreensmith
Oblivion,Masayoshi Soken,11fITg5u1NddciKuiIXEst,2023-04-13T02:46:01Z,dangreensmith
Revenge of the Horde,Masayoshi Soken,02sRIOljLSa3Xh1trNSRst,2023-04-13T02:41:35Z,dangreensmith
Who Brings Shadow,Masayoshi Soken,3nYfqm2lnCQQiWKOc0xcP5,2023-04-13T02:42:41Z,dangreensmith
Insatiable,Masayoshi Soken,1yAQwOO2O3amC5gEWghJwA,2023-04-13T02:32:19Z,dangreensmith
Invincible,Masayoshi Soken,3OdWhn1bYjWIJBI03dyBP1,2023-04-13T02:45:38Z,dangreensmith
FFVII REMAKE: J-E-N-O-V-A -胎動- (J-E-N-O-V-A - Quickening),"Nobuo Uematsu, TADAYOSHI MAKINO",5ZeoTiWvKC5wS08UfgLqsM,2023-04-13T02:33:24Z,dangreensmith
Alien Manifestation,"岡部啓一, 帆足圭吾",1bawDCkXcLpGjRp8LwpD6K,2023-04-13T02:53:41Z,dangreensmith
Song of the Ancients (Atonement),岡部啓一,0rSc1NL89ymNt2Og5T5vzg,2023-04-13T02:22:39Z,dangreensmith
Emil (Despair),"帆足圭吾, 石濱 翔",1kVDDcVsYpQhVzlUDz0Xzq,2023-04-13T02:19:16Z,dangreensmith
The Sound of the End,帆足圭吾,3NZ7NjOVCUTzDbfHKlCant,2023-04-13T02:25:37Z,dangreensmith
Nay! The Honor is All Ours,Akihiko Narita,2iB2Ixk6tLsr2ULZyhhjPu,2023-04-13T02:19:29Z,dangreensmith
ULTRA VIOLET(ネロ アンジェロ戦),Capcom Sound Team,5MgmtxsgI28xyRedapKYBI,2023-04-13T02:19:51Z,dangreensmith
Devil Trigger,Casey Edwards,29aaQRKHU0wvs90nPBMdlw,2023-04-13T02:59:22Z,dangreensmith
FFVII REMAKE: マッスルな者達 (The Most Muscular),Nobuo Uematsu,6rKabiRZpgEOVuj3G3W4iq,2023-04-13T02:42:21Z,dangreensmith
Proof of a Hero - Rise Version,Capcom Sound Team,7M2zvW8bNWMohjSaNmJibB,2023-04-13T02:23:33Z,dangreensmith
End Times,Danny Baranowsky,4o1Q4Mogv2Luo34f2L0SJM,2023-04-13T02:29:45Z,dangreensmith
Snow in Summer,SQUARE ENIX MUSIC,7EFnTKDaM0WiIy6v3NOO97,2023-04-13T02:31:57Z,dangreensmith
Cold Steel Coffin,SQUARE ENIX MUSIC,0GUo4gPaik5xraYNrhZ9PL,2023-04-13T02:43:36Z,dangreensmith
Song of the Ancients - Lost Androids Mixuxux,SQUARE ENIX MUSIC,3qnhK5Gr0xdVpT3xhoc8db,2023-04-13T02:43:59Z,dangreensmith
Emil - Ultimate Weapon No.7,SQUARE ENIX MUSIC,4hhV37jMAKFm7THKHhWW2o,2023-04-13T02:44:19Z,dangreensmith
Shadowlord - Crying Yonah Version,SQUARE ENIX MUSIC,1XdhS1EB62TRzgvcDlay7L,2023-04-13T02:44:23Z,dangreensmith
"Battle B2 (From ""Shin Megami Tensei IV"")",GillStudio,6cZ7bPZ4m7u1jCmvhX3QLZ,2023-04-13T02:49:32Z,dangreensmith
Battle -dancing crazy murder-,"アトラスサウンドチーム, ATLUS GAME MUSIC",2626lsAIrawbGUBovDZZ7Q,2023-04-13T02:49:56Z,dangreensmith
Clash on the Big Bridge (Final Fantasy V),Nobuo Uematsu,6ycOc2KczQlbcJGavwkOsl,2023-04-13T02:56:12Z,dangreensmith
The Summit,Bear McCreary,2FSWaVneLMnzMbyfaBXWvV,2023-04-13T10:51:10Z,dangreensmith
