name,artist,id,added_at,added_by,length_seconds
See You Again,Miley Cyrus,3AjyOYxBv8bByfBtG5o9dP,2021-07-16T00:31:23Z,1214496633,190
As the World Caves In,Sarah Cothran,7LAmsNJpBaNvNg7VZPXxSv,2021-07-16T00:31:30Z,1214496633,161
Bi Wife Energy,Cringe and the Lizards,4mvgkmOUq1rQXyOFDuK885,2021-07-16T00:31:53Z,1214496633,58
Just A Kiss,Lady A,2OXidlnDThZR3zf36k6DVL,2021-07-16T00:32:01Z,1214496633,218
"Dancing In The Dark - From The ""Home"" Soundtrack",Rihanna,3nlVjrlLMJHC7Flf9impf9,2021-07-16T18:52:59Z,1214496633,223
Oxytocin,Billie Eilish,4t2OeILB07eMGTXSUbMPEu,2021-07-30T22:12:52Z,1214496633,210
My Band,D12,4XHQyvbrBsQaaBUW1VvmsL,2021-07-31T05:24:22Z,1214496633,298
Grace Kelly,MIKA,7dzUZec5MnWMyQnk5klnKR,2021-08-06T19:49:31Z,1214496633,187
Teardrop,"Massive Attack, Elizabeth Fraser",67Hna13dNDkZvBpTXRIaOJ,2021-08-11T00:55:33Z,1214496633,330
EAT SPIT! (feat. Royal & the Serpent),"Slush Puppy, Royal & the Serpent",1aFP0G0GHQAAH9gfC95wT1,2021-08-24T16:37:31Z,1214496633,123
FMRN,Lilyisthatyou,08hB2ERJV6A1Ntu3OHgzjh,2021-08-27T21:19:48Z,1214496633,122
Rude Boy,Rihanna,60jzFy6Nn4M0iD1d94oteF,2021-10-16T04:17:33Z,1214496633,222
High Enough,K.Flay,1qwno7xb5mJe71xtMS6jl2,2022-02-03T21:27:47Z,1214496633,231
