name,artist,id,added_at,added_by
Ego Trip,Alma Zohar,5eqED0ZxF6JCztlHQaE3Mq,2023-10-15T15:15:25Z,1224051141
Lost Horse,Asaf Avidan,77ib3NKsYzjtN9mepvIp69,2023-10-15T15:11:53Z,1224051141
זיקוקים,Moshe Peretz,49ajPBLv4OergB7G0EfcfN,2023-10-15T15:11:18Z,1224051141
מחכים למשיח,"Mooki, Berry Sakharof",3bHf42XJdA2qgCE8TEAT3x,2023-10-15T15:11:13Z,1224051141
Min Zaman,Bint El Funk,1KK5dcqKKo7e55S8mc2wUe,2023-10-15T15:12:03Z,1224051141
זזים עם הבאס - Bounce,"Subliminal, The Shadow",0UlBHGatJ3C9Fs8xYxg0fu,2023-10-15T15:23:57Z,1224051141
הזמן עושה את שלו,Avraham Tal,3ae5AO2B2MffuyG8F862ZD,2023-10-15T15:15:44Z,1224051141
Hermetico,Balkan Beat Box,4XIFPzHQSJdA24d4jWnVfW,2023-10-15T15:16:09Z,1224051141
גוף,"Tuna, Adi Ulmansky",4o58kocggjTMh0HxRq0mlO,2023-10-15T15:24:30Z,1224051141
בסוף מתרגלים להכל,Dudu Tassa,5pbt1CxCwseTRJOCdrA8OS,2023-10-15T15:16:41Z,1224051141
על קצות האצבעות,"Elai Botner, Yaldei Hachutz",09IRLG2EOwLrDnbufXePXh,2023-10-15T15:16:52Z,1224051141
הטעם שנשאר,"Ethnix, פרננדו סיישס, בנג'מין קולהו, אדבו קולהו, הלן דגזומה",41ObVNKrKG9KmuMNyK1HtK,2023-10-15T15:17:16Z,1224051141
Besof Hayom,Erez Lev Ari,1JaVGdr1I5wwsrGcPZCIC9,2023-10-15T15:17:29Z,1224051141
Let's Go,Full Trunk,4RUAr9jSAZyqfYiVxqAOkO,2023-10-15T15:18:20Z,1224051141
שבור זה גם חותך,Girafot,4X7sOa70un3PumKjuW0VAT,2023-10-15T15:18:40Z,1224051141
Be'Yom Shabbat (On Sabbath),Idan Raichel,0jeNOHh2s64O3mWOKG8yGE,2023-10-15T15:19:19Z,1224051141
Kacha Ze - Le'ehov Otcha (That's the Way - Loving You),Miri Mesika,18LshmURSGtpSMxofZhVrw,2023-10-15T15:22:30Z,1224051141
לרקוד עם דמעות בעיניים,"Ivri Lider, תומר מייזנר",2XxnaUUACnu3BOlyPPJLDF,2023-10-15T15:19:30Z,1224051141
בכל פעם שאני מתאהב (בך מחדש),Izhar Ashdot,57MnOfC2k8G1wzoSWLzPvn,2023-10-15T15:19:43Z,1224051141
איך זה מרגיש,Knesiyat Hasechel,44TRKbOpRu7F5IwRmIbSxE,2023-10-15T15:20:02Z,1224051141
ילדה קטנה ומכוערת,"Kol HaChatichim Etzli, Aya Zahavi Feiglin",6e1XKBtWZxvJ5xIUf1uaH4,2023-10-15T15:20:05Z,1224051141
נכון להיום,Zohar Argov,4uAMVoZrW1l6GysNRxNZxC,2023-10-15T15:24:47Z,1224051141
שיר של יום חולין,Maor Cohen,3veP41hqImUDYUhBbnZG90,2023-10-15T15:20:18Z,1224051141
עץ ירוק מפלסטיק,Margalit Tzan'ani,2sXiDKx2qK5lF2MfHwqrok,2023-10-15T15:20:21Z,1224051141
לישון בלי לחלום,Metropolin,6lOx0YL48UiVeWnVafDB9a,2023-10-15T15:20:35Z,1224051141
Karma Police,Shefita,5fcWP2sHH8RYhHP4V0DrJo,2023-10-15T15:22:44Z,1224051141
מפחד עלייך,"Miri Mesika, E-Z",49THCHZkMnUOCJlaUx6GdM,2023-10-15T15:20:46Z,1224051141
Иордан,"Noize MC, Atlantida Project",2LjZMbPkcsAUFWtzMrFIa9,2023-10-15T15:21:14Z,1224051141
Becoming Insane,Infected Mushroom,1Nukcy7xk7AbS7MtkaiOe3,2023-10-15T15:13:16Z,1224051141
Rhythm By Rhyhm,Shmuel Noifeld,1AjMv2OvgPYCdRHM7drrOd,2023-10-15T15:23:23Z,1224051141
מקום אחר,Shlomi Saranga,3XmlfHHr4x261PV8mn4P65,2023-10-15T15:23:06Z,1224051141
סרט ערבי,Tuna,7lSfyfZcAySE5iNPaVIWhx,2023-10-15T15:24:23Z,1224051141
הסוף הטוב הזה,Yuval Dayan,7cUjJ9bhRBZTqjBMd4w0qg,2023-10-15T15:24:40Z,1224051141
נשקי אותי,Sivan Shavit,1jJhN8bv2FN02jke6ZgvD9,2023-10-15T15:23:32Z,1224051141
Mi'Ma'amakim (Out Of The Depths),Idan Raichel,0EItG9IYrhffJ2MOU9pW0Q,2023-10-22T22:19:04Z,1224051141
