name,artist,id,added_at,added_by,length_seconds
Marquee Moon,Television,7Me0vOSlJfaPY7Pc4GeItd,2018-09-04T05:03:26Z,1236518336,638
Cross My Heart,Melody's Echo Chamber,5yMnm20rD95YJtfROKNgYE,2018-09-04T05:04:19Z,1236518336,415
"Breathe in, Breathe Out",Melody's Echo Chamber,06fSbKiMP2Z7vzYG4WOBXB,2018-09-04T05:04:37Z,1236518336,170
Desert Horse,Melody's Echo Chamber,7GFejQlQ9tbV9sEIBFqQ7I,2018-09-04T05:04:37Z,1236518336,314
Var Har Du Vart?,Melody's Echo Chamber,4srNreNyfgreGUNnZ0ooEJ,2018-09-04T05:04:37Z,1236518336,88
Quand Les Larmes D'un Ange Font Danser La Neige,Melody's Echo Chamber,4nPga1k1zU0n2HftY4tbuc,2018-09-04T05:04:37Z,1236518336,427
"Visions of Someone Special, On a Wall of Reflections",Melody's Echo Chamber,4PcW0yZyJhyLqO9gNmpauF,2018-09-04T05:04:37Z,1236518336,295
Shirim,Melody's Echo Chamber,1HBXXiiegRl0TpzgikBBTP,2018-09-04T05:04:37Z,1236518336,286
Sentient Oona,Thee Oh Sees,6b4skXzhnOSGWNU7lmHpUw,2018-09-04T05:06:18Z,1236518336,334
Enrique El Cobrador,Thee Oh Sees,0nOtMSnU56DdwPUOuQMGsP,2018-09-04T05:06:18Z,1236518336,233
C,Thee Oh Sees,6AIKq2D1Gu80HX6aXcp9wp,2018-09-04T05:06:18Z,1236518336,261
Overthrown,Thee Oh Sees,4Llrx3lOeJz97RTy9fXSrq,2018-09-04T05:06:18Z,1236518336,161
Last Peace,Thee Oh Sees,05502BY6MKE9x7zhDR5iIu,2018-09-04T05:06:18Z,1236518336,461
Moon Bog,Thee Oh Sees,79Pd5TNsTa7YU78ASMSrCB,2018-09-04T05:06:18Z,1236518336,296
Anthemic Aggressor,Thee Oh Sees,58XvlOwPjhx2R5PkCCrgzZ,2018-09-04T05:06:18Z,1236518336,733
Abysmal Urn,Thee Oh Sees,7yLf9voMmFiwdiEKuvQQ0U,2018-09-04T05:06:18Z,1236518336,205
Nail House Needle Boys,Thee Oh Sees,28gZCGKvJ50HO6kOrj3431,2018-09-04T05:06:18Z,1236518336,280
Flies Bump Against the Glass,Thee Oh Sees,55rGTfKDnaD0CoasmTHy6O,2018-09-04T05:06:18Z,1236518336,265
Beat Quest,Thee Oh Sees,4rPtxv6E6qAdtJoTko4Cef,2018-09-04T05:06:18Z,1236518336,364
Tarkus - i. Eruption / ii. Stones of Years / iii. Iconoclast / iv. Mass / v. Manticore / vi. Battlefield / vii. Aquatarkus; 2012 Remaster,"Emerson, Lake & Palmer",62d0aGpYF2p8fpvJ1qa32V,2018-09-04T05:07:04Z,1236518336,1237
Gimme Danger,The Stooges,0yOcVe3GzHnKT2bdlVb8jR,2018-09-04T05:08:08Z,1236518336,213
Gimme Danger [2023 Remaster] - Iggy Mix,The Stooges,77bHrxVX3E2SWopfaoWrTw,2018-09-04T05:08:17Z,1236518336,213
The Less I Know The Better,Tame Impala,6K4t31amVTZDgR3sKmwUJJ,2018-09-04T05:09:35Z,1236518336,216
He Would Have Laughed,Deerhunter,6ZXoX3GiljGiuQpGCjWJI3,2018-09-04T05:09:53Z,1236518336,449
Revival,Deerhunter,30wvVTkqA4Fp5ZCG0xGof7,2018-09-04T05:09:57Z,1236518336,133
Helicopter,Deerhunter,6cqXhzuVIH4Hm2CkF7ZN21,2018-09-04T05:10:01Z,1236518336,298
Learning To Fly,Tom Petty and the Heartbreakers,17S4XrLvF5jlGvGCJHgF51,2018-09-04T05:10:49Z,1236518336,242
Africa,TOTO,2374M0fQpWi3dLnB54qaLX,2018-09-04T05:11:16Z,1236518336,295
Invisible Touch - 2007 Remaster,Genesis,0xpBr84T3FTm9j4D1MdPtk,2018-09-04T05:11:34Z,1236518336,208
The Logical Song - Remastered 2010,Supertramp,6mHOcVtsHLMuesJkswc0GZ,2018-09-04T05:11:55Z,1236518336,251
Windowlicker,Aphex Twin,60Pe9j2pCBa4Zp4ztf5nhd,2018-09-04T05:12:38Z,1236518336,368
Come To Daddy - Pappy Mix,Aphex Twin,53T0V3jTJDs3kIqwvlgspI,2018-09-04T05:12:51Z,1236518336,262
Flim,Aphex Twin,4q650OiSDQIwccxDFpuuBm,2018-09-04T05:12:51Z,1236518336,177
Come to Daddy - Little Lord Faulteroy Mix,Aphex Twin,0x8b7vNeJAXylcdL3K8lQn,2018-09-04T05:12:51Z,1236518336,230
Bucephalus Bouncing Ball [Chosen by Warp co-founder Steve Beckett],Aphex Twin,0dHbniuO4zBQfE8ArIqFgV,2018-09-04T05:12:51Z,1236518336,344
To Cure A Weakling Child - Contour Regard,Aphex Twin,0fIWLP6BkaQ5bVevpICXWa,2018-09-04T05:12:51Z,1236518336,310
Funny Little Man,Aphex Twin,0136xsceivJ2NsoiE0cmcb,2018-09-04T05:12:51Z,1236518336,238
Come To Daddy - Mummy Mix,Aphex Twin,5QR8oXyhNdtYusXQMRwsvr,2018-09-04T05:12:51Z,1236518336,264
IZ-US,Aphex Twin,0c0Z5agmnSibjIWjdZV6R1,2018-09-04T05:12:51Z,1236518336,177
#1,Aphex Twin,35NyjYJFaJxqbUF2y0jWl1,2018-09-04T05:13:56Z,1236518336,447
Girls & Boys,Blur,5CeL9C3bsoe4yzYS1Qz8cw,2018-09-04T05:16:54Z,1236518336,259
Coffee & TV,Blur,5eSllZgRWCIJsDTAqFRwQw,2018-09-04T05:17:00Z,1236518336,358
Ghost Ship,Blur,61JDaStnXY3vbaEjliB5WA,2018-09-04T05:17:04Z,1236518336,299
Wish You Were Here,Pink Floyd,6mFkJmJqdDVQ1REhVfGgd1,2018-09-04T05:17:57Z,1236518336,334
Work This Time,King Gizzard & The Lizard Wizard,3VDRXEOQDjBsQyzbFs1qGa,2018-09-04T05:18:18Z,1236518336,276
Hot Wax,King Gizzard & The Lizard Wizard,4pg3sLGqpSPlF8tC9v4NSf,2018-09-04T05:18:23Z,1236518336,209
Sense,King Gizzard & The Lizard Wizard,7tUUZ74ZhKN8B1IiMREYlO,2018-09-04T05:18:27Z,1236518336,210
Blue Boy,Mac DeMarco,1CKm95B5JmaSCnZLquInM4,2018-09-21T15:02:46Z,1236518336,126
Black Dog - Remaster,Led Zeppelin,3qT4bUD1MaWpGrTwcvguhb,2018-09-21T15:02:53Z,1236518336,295
A Kind Of Magic - Remastered 2011,Queen,1LFK84nUerBbYfFd1LmnTm,2018-09-21T15:03:25Z,1236518336,264
