name,artist,id,added_at,added_by,length_seconds
Cosmica,"Sublab, Azaleh",0a7NHZNby1UoaLCGGUXHMv,2021-06-23T15:07:14Z,rafaelfernandes03,324
snowfall,"Øneheart, reidenshi",4xF4ZBGPZKxECeDFrqSAG4,2024-02-14T16:50:01Z,rafaelfernandes03,124
India - Original Mix,EarthLife,4k919G9E096WoXenUv0Hdi,2022-06-09T00:05:37Z,rafaelfernandes03,535
Vergangenheit,"Sublab, Azaleh",6EYWLaus7to0TWiHo6mlIU,2022-06-28T22:18:29Z,rafaelfernandes03,333
Solar Sailer,Daft Punk,770xg19bhZii0ARFBn1qR5,2022-06-03T13:20:56Z,rafaelfernandes03,162
Discernment,Almost Vanished,4d8XcCOiH7WCVGnWDpkf8z,2021-05-26T16:05:57Z,rafaelfernandes03,337
Domuyo,Clawz SG,7fj3QXBSTUn3cOWxmHCK7J,2019-07-01T00:55:36Z,rafaelfernandes03,483
Arcenciel,Francys,2ytofXDReYdYiK5MR11GKU,2019-10-20T11:03:34Z,rafaelfernandes03,486
Furious Angels - Instrumental,Rob Dougan,7KblIs90wbb1MGx64plOzp,2022-06-03T12:20:59Z,rafaelfernandes03,329
Cabin Pressure,"The Crystal Method, Matt Lange, Justin Chancellor",4O9LZuVyNOQiwBabIiCBzq,2022-08-31T13:15:19Z,rafaelfernandes03,302
Inception - Junkie XL Remix,"Hans Zimmer, Junkie XL",6zeemXaeg9l8vBllGdNxnw,2023-01-05T11:56:25Z,rafaelfernandes03,553
Empire - Original,Hybrid,0XlUkSOV9aVJLnqFqgBIgK,2018-09-16T15:17:00Z,rafaelfernandes03,360
Halcyon and On and On,Orbital,5xcunlfaZvD9BDQsLONI7A,2022-06-05T22:14:36Z,rafaelfernandes03,567
Brigante - Nhar Remix,"Ercos Blanka, Nhar",2ff87EDRvp1GIY60XVLxwp,2020-09-11T22:06:58Z,rafaelfernandes03,360
Stardust,Oscuro,4rdFaJUG0i7uAYT8ExhKIF,2023-12-27T17:56:54Z,rafaelfernandes03,199
High Seas,Sainte Vie,3vIN77NsPlbqUOYC0DZBvo,2022-05-22T02:06:18Z,rafaelfernandes03,595
Free Fall,Anja Schneider,74D1dmMEX6tAsspSMQQldK,2022-06-14T22:29:15Z,rafaelfernandes03,416
Anticipation,"Direct, Elliot Berger",5an1Uuam32mHLQxtTuoSRB,2018-06-25T13:29:34Z,rafaelfernandes03,248
Red Planet,Township Rebellion,44c74BqpkDXXmxeieS37P3,2022-12-13T21:48:41Z,rafaelfernandes03,570
Inkeri,Tor,18Xjl0R0TfUwJYIKOu9pCg,2023-12-01T15:57:43Z,rafaelfernandes03,202
Crystal,Johannes Brecht,3BtLLmtLqncevuw4ZhODG8,2022-06-04T22:22:41Z,rafaelfernandes03,513
Intro,The xx,0bXpmJyHHYPk6QBFj25bYF,2022-06-04T22:04:09Z,rafaelfernandes03,127
Escape,Carbon Based Lifeforms,5qiseKMZJZy88HmMcJf3QW,2022-09-22T21:26:00Z,rafaelfernandes03,352
Linear Daybreak,Brendon Moeller,57rytVaSLCQwQkQIt3oq9X,2020-02-09T12:16:08Z,rafaelfernandes03,330
Hopeful,ODESZA,7JXVPV3BIeuDs7JImsuN9P,2023-12-04T15:41:52Z,rafaelfernandes03,248
The Kingdom Is Ours,Vøsne,7FABE5YnCjQMBl3DyT1FQG,2022-12-02T13:47:21Z,rafaelfernandes03,985
Resynthesis 3D (Binaural Version - Headphones Only),Max Cooper,1c7inucFjGndMO3QTsl0lg,2022-12-13T21:07:48Z,rafaelfernandes03,296
Ahimsa - Extended Mix,Stan Kolev,2T5wQbYNjLo7ficpg2i8OR,2022-07-20T19:28:01Z,rafaelfernandes03,454
Faded Memory,Planète,30sWK9of3ll8689n12qV0b,2022-08-13T18:41:46Z,rafaelfernandes03,254
Higher Concentration,Dublicator,1Q3yLKw9lPNqbDiLELhCNS,2022-10-11T18:57:49Z,rafaelfernandes03,472
Nomade,"Martin Tillman, Spooky Cowboy",2gNfiokhNCOgrAfWLEdTDr,2019-09-30T13:37:57Z,rafaelfernandes03,303
Jörð,Janus Rasmussen,5OLZmxtus5R7j8pcMFJbQm,2022-12-07T23:51:15Z,rafaelfernandes03,352
Rockledge 3A,Datach'i,0q7N2mxBIDrv1ol2y1Sa2F,2022-07-26T12:58:52Z,rafaelfernandes03,276
Portal,Herr Lang,4Z1FN3padWsSOrvisQWlKj,2022-07-21T16:44:44Z,rafaelfernandes03,471
Absinthe,"Taylan, Khaled Abdrabo",6TJSFxaFUiFvua4ZZ4dxad,2022-06-01T14:47:46Z,rafaelfernandes03,412
Mano,Joris Voorn,2Z2CLhQwH001Wr1Zea44hu,2022-06-08T20:53:50Z,rafaelfernandes03,252
Panama,"Starkato, Intaktogene",6t5ZrF85M2199GUyPm4P3k,2022-02-03T19:52:29Z,rafaelfernandes03,437
Eisberg (Hemal),Christian Löffler,6HX2HKDm8nu2m9GwK8eFpH,2018-09-22T13:32:48Z,rafaelfernandes03,233
Petal Dance,Helsloot,62O40xq82udtEfBYeWdAN8,2022-09-10T13:28:42Z,rafaelfernandes03,229
Unfold,Fejká,5UpFOpt2FnYpgKfmlw2NVf,2022-11-19T12:25:00Z,rafaelfernandes03,221
