name,artist,id,added_at,added_by
Valkyrie (feat. Laura Brehm),"Varien, Laura Brehm",0xSfg4oe6k01VfdCk97Ur2,2022-06-26T19:05:48Z,goobz24
STARSTRUKK,3OH!3,3fTbgPQcnydStWGXxpoag1,2022-06-26T19:05:48Z,goobz24
The Calling (Da Tweekaz Remix),"TheFatRat, Laura Brehm",4aRwjepcGUhXP5MLOncvdT,2022-06-26T19:05:48Z,goobz24
Take It Off,Kesha,0WCiI0ddWiu5F2kSHgfw5S,2022-06-26T19:05:48Z,goobz24
Your Love Is My Drug,Kesha,6vc2Jq2vaGu8z326kSrw92,2022-06-26T19:05:48Z,goobz24
Cocaine,Nightcore,,2022-06-26T19:05:48Z,goobz24
Stronger Than You,"Steven Universe, Estelle",3ry3QOTArZPVqduQETTX4m,2022-06-26T19:05:48Z,goobz24
Patient is the Night,The Blasting Company,0BclcdNhgrqo0c1Hfoqz8F,2022-06-26T19:05:48Z,goobz24
Into The Unknown,The Blasting Company,1uxgAlSrXK5Xlo59HHsOPW,2022-06-26T19:05:48Z,goobz24
I Burn (Yellow Trailer) [feat. Casey Lee Williams],"Jeff Williams, Casey Lee Williams",6ubHZGcevVZ9Ew8AohTu7G,2022-06-26T19:05:48Z,goobz24
Children Of Darkness,Nightcore,,2022-06-26T19:05:48Z,goobz24
Dance Like There's No Tomorrow,Paula Abdul,7v2Jv1X3D3q2uZuENKMhYh,2022-06-26T19:05:48Z,goobz24
Seid Bereit,Hans Zimmer,,2022-06-26T19:05:48Z,goobz24
"A Complete History of the Soviet Union, Through the Eyes of a Humble Worker",Pig with the Face of a Boy,57p9wSFmJMaWNCVYakV6OZ,2022-06-26T19:05:48Z,goobz24
The Hanging Tree,"James Newton Howard, Jennifer Lawrence",416MsJxvxSKY96DCmbJIRs,2022-06-26T19:05:48Z,goobz24
You Win or You Die,Karliene,28l9f0bzHfGwx2KF2cEo7U,2022-06-26T19:05:48Z,goobz24
The Bear and the Maiden Fair,Tall Like Tyrion,,2022-06-26T19:05:48Z,goobz24
Firefly - Main Title,Sonny Rhodes,7fYjOsaVgC7Pbx4FRmvgRt,2022-06-26T19:05:48Z,goobz24
Henry Martin,Figgy Duff,,2022-06-26T19:05:48Z,goobz24
Slipping,Neil Patrick Harris,5vK2gLqLpkgzoRrHrFOYrx,2022-06-26T19:05:48Z,goobz24
Brand New Day,Neil Patrick Harris,2u2McJSgHM5iHyOLSwWySb,2022-06-26T19:05:48Z,goobz24
