name,artist,id,added_at,added_by
The Elfin Knight,Jean Luc Lenoir,1U57jJnbCVlLtI7fKGq8vx,2023-01-27T04:35:35Z,1214496633
Ballroom Of Romance,Celtic Woman,54NdJzrlrl1uPIoR7CGsuf,2023-01-27T04:35:43Z,1214496633
The Star of the County Down,The Borderers,6lt0kzyRoCfkq1WPEIZ0SN,2023-01-27T04:35:49Z,1214496633
The Maid That Sold Her Barley,Deanta,14Wmb80g85oFi3khLBKOJz,2023-01-27T04:35:57Z,1214496633
Orinoco Flow,Celtic Woman,7CV6aGXHTyPsJV8YuJjp8y,2023-01-27T04:36:04Z,1214496633
Tír na nÓg,"Celtic Woman, Oonagh",6obm5ubZCFaxTw44EonarI,2023-01-27T04:36:09Z,1214496633
Téir Abhaile Riu,Celtic Woman,0AmA8MQue1LBuYZSAdBMsj,2023-01-27T04:36:13Z,1214496633
The Green Fields Of France,The High Kings,5hzoYggJZQDfxKbYiQ4Zhw,2023-01-27T04:36:29Z,1214496633
Scarborough Fair,Sarah Brightman,4vixgSEittlcLbvclr6xjN,2023-01-27T04:37:14Z,1214496633
Four Winds,Blackmore's Night,75JUp2xOd2cVZKOLgRJGR3,2023-01-27T04:38:22Z,1214496633
Once Upon December,Blackmore's Night,3l1LmKpxXODSatTa7I3IUC,2023-01-27T04:38:32Z,1214496633
Under a Violet Moon,Blackmore's Night,2WpmMlS6Tr01C7UNFjQI3U,2023-01-27T04:38:37Z,1214496633
Ghost of a Rose,Blackmore's Night,7pDDVJQZIg0PLVUzAT0KGj,2023-01-27T04:38:44Z,1214496633
Fee Ra Huri,OMNIA,7BinuqowXzqQO2fEsYK5yN,2023-01-27T04:44:03Z,1214496633
Wolf an Dro,OMNIA,3kZwRLGTgarfSczqw9uchr,2023-01-27T04:44:08Z,1214496633
Follow Me Up To Carlow,Young Dubliners,0FDTn9eV0JeoRYBcVP0Pdp,2023-01-27T04:44:20Z,1214496633
Foggy Dew Bagpipes,The Snake Charmer,53MfrEaJXUuQ7PMfaiV7Kn,2023-01-27T04:44:47Z,1214496633
The Sick Bed of Cuchulainn,The Pogues,7wSco4c7DSaTvcrryRmy6S,2023-01-27T04:45:04Z,1214496633
Black Fox,Heather Dale,6RESm7ENOUghLSFpfrFBsT,2023-01-27T04:46:09Z,1214496633
The Devil's Courtship / An Dro,Battlefield Band,69ruNATgEPOoSQJL88Y9bH,2023-01-27T04:48:54Z,1214496633
Scalliwag,Gaelic Storm,78WLDb8BOJPAOI2FN4eSJn,2023-04-15T19:27:20Z,1214496633
The Foggy Dew,Young Dubliners,5wXGCPZNAuz0nOOQHGlvKp,2023-04-26T08:48:44Z,1214496633
Hùg Air A' Bhonaid Mhòir,Julie Fowlis,6kFyrzyqjPCWrtgYat1evE,2023-05-15T13:23:46Z,1214496633
