name,artist,id,added_at,added_by,length_seconds
Iodine,Icon For Hire,4e9q4IOVPahDk2B2Og1Fuc,2019-11-18T02:19:11Z,1214496633,152
Hurricane,Panic! At The Disco,7l9uOhfVJC8Y0c6PXHrgbs,2019-11-18T02:19:11Z,1214496633,265
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,7s0lDK7y3XLmI7tcsRAbW0,2019-11-18T02:19:11Z,1214496633,186
Too Many Faces,Cherri Bomb,21ET3stNQckqgAv31J6qUY,2019-11-18T02:19:11Z,1214496633,284
Sucker Punch,Die Mannequin,1SuFKR935GO2bIWoVRP688,2019-11-18T02:19:11Z,1214496633,206
Dead Quartet,Apnea,0Y8rNYkmfWHo80wTtML0SK,2019-11-18T02:19:11Z,1214496633,238
Mirrors,PVRIS,6WGBENIKpyM18xgCd0mYiK,2019-11-18T02:19:11Z,1214496633,204
Delete,Story Untold,3kaQQHxq57K35hKdVRrXx5,2019-11-18T02:19:11Z,1214496633,208
Feel,Skarlett Riot,5evrdo50zkBLe2PIhViRmo,2019-11-18T02:19:11Z,1214496633,281
Death Valley,Fall Out Boy,3iJmiaoZWzykf3Hl4IeYtI,2019-11-18T02:19:11Z,1214496633,226
Hope of Morning,Icon For Hire,0rnYzS6Nxg3wDtfi9T9GON,2019-11-18T02:19:11Z,1214496633,229
The Devil Inside,My Ending Reign,0KNrsc3couIaem88FlQ4O3,2019-11-18T02:19:11Z,1214496633,317
Reflections,We Are The In Crowd,56xz9BGTdg94BBL5TDAHhh,2019-11-18T02:19:11Z,1214496633,161
Death of a Bachelor,Panic! At The Disco,1BECwm5qkaBwlbfo4kpYx8,2019-11-18T02:19:11Z,1214496633,203
The Phoenix,Fall Out Boy,53AuxddsgPSlqM619nJhSd,2019-11-18T02:19:11Z,1214496633,244
Dirty Souls,Five Knives,0FsoanFOuKd8PAjoij40Ln,2019-11-18T02:19:11Z,1214496633,203
Nicotine,Panic! At The Disco,5Q4H1XkVHxQjnrHCUpS61d,2019-11-18T02:19:11Z,1214496633,186
Venom,Icon For Hire,4cQWvdxRi6IvEQBbgDveQI,2019-11-18T02:19:11Z,1214496633,175
Avalanche,Bring Me The Horizon,4EyPadLFhtWojU7mkT5hqT,2019-11-18T02:19:11Z,1214496633,262
The Transparent,The Paper Melody,5AAOWGlOYAF2Ah4TSGoDGj,2019-11-18T02:19:11Z,1214496633,220
What He Don't Know,Anarbor,3A9Z3dOIYxbEZeKxBrfZ4A,2019-11-18T02:19:11Z,1214496633,200
Novocaine,Fall Out Boy,5F0bmCjKUufNz1bHXfgRwe,2019-11-18T02:19:11Z,1214496633,226
Moon,The Cab,2e8nVei4B3HyfE3sDEvfLN,2019-11-18T02:19:11Z,1214496633,196
Proud,Heirsound,7rFrZXqLCuK4tpVsEij2qJ,2019-11-18T02:19:11Z,1214496633,214
Get Well,Icon For Hire,7pQPvZc47B3ztdOCWNnYiY,2019-11-18T02:19:11Z,1214496633,177
One For the Money,Escape the Fate,77tR4iQgyQTAnhhuPik3ZP,2019-11-18T02:19:11Z,1214496633,199
Crazy = Genius,Panic! At The Disco,6V68ItawQkQlZhYIf1S86C,2019-11-18T02:19:11Z,1214496633,198
1985,Bowling For Soup,5oQcOu1omDykbIPSdSQQNJ,2019-11-18T02:19:11Z,1214496633,193
Off With Her Head,Icon For Hire,4nPI6aIrHaMNZbF2q8NfpX,2019-11-18T02:19:11Z,1214496633,185
"Into the Unknown - From ""Frozen 2""",Panic! At The Disco,0v622a7rlXRYcT6m3xwutU,2019-11-18T02:19:11Z,1214496633,189
Uma Thurman,Fall Out Boy,5PUawWFG1oIS2NwEcyHaCr,2019-11-18T02:19:11Z,1214496633,211
Good Girls Go Bad (feat. Leighton Meester),"Cobra Starship, Leighton Meester",7kMfu3KUydmrFVGEAhjtyl,2019-11-18T02:19:11Z,1214496633,196
Revolution (The Bloody Beetroots Remix),Crossfaith,59Qs383xfWcVYdWBvJKxc9,2019-11-18T02:19:11Z,1214496633,197
Narcissistic Cannibal,EarlyRise,0rnnaGHVwGW0F6yYTHaVd4,2019-11-18T02:19:11Z,1214496633,178
Memory,Sugarcult,0ChpoNjXfJPjMvCIN6so6J,2019-11-18T02:19:11Z,1214496633,226
Pulse,Icon For Hire,4NFF1I1CGrQMqcSnQSQtGo,2019-11-18T02:19:11Z,1214496633,191
One of the Drunks,Panic! At The Disco,5trCWbYtza0QUxdmF9HAPX,2019-11-18T02:19:11Z,1214496633,198
Ocean Avenue,Yellowcard,23oxJmDc1V9uLUSmN2LIvx,2019-11-18T02:19:11Z,1214496633,198
Six Feet,Patent Pending,0LvkE0gOLzfUTO7MoFNssM,2019-11-18T02:19:11Z,1214496633,200
Dear Future Self (Hands Up) [feat. Wyclef Jean],"Fall Out Boy, Wyclef Jean",3Fm4KEBiLmj4e3x4Qqv7W0,2019-11-18T02:19:11Z,1214496633,171
No Consequences,VersaEmerge,16MhGoYQDO4EfKfn3ZoOCi,2019-11-18T02:19:11Z,1214496633,190
Escape,Fireflight,7oswRvg5gT3636VMXTxA0p,2019-11-18T02:19:11Z,1214496633,259
Roaring 20s,Panic! At The Disco,0wdV94AXGRphrbkDWLNzVC,2019-11-18T02:19:11Z,1214496633,186
"Swing, Swing",The All-American Rejects,003FTlCpBTM4eSqYSWPv4H,2019-11-18T02:19:11Z,1214496633,233
Up In Flames,Icon For Hire,5YnXMt6T8p6DT8Zpcb7O4e,2019-11-18T02:19:11Z,1214496633,168
Misery Business,Paramore,6SpLc7EXZIPpy0sVko0aoU,2019-11-18T02:19:11Z,1214496633,211
Immortals,Fall Out Boy,3Te8uLyit6X3ncNW8Fp3K2,2019-11-18T02:19:11Z,1214496633,189
