name,artist,id,added_at,added_by
Sparks,Hilary Duff,2ipJSuGf1GtxSIt2KvOGxl,2021-01-26T00:10:03Z,1214496633
Butterflies,Zendaya,1nV9EKNIAORTvadQ19jkik,2021-01-26T00:10:09Z,1214496633
Slow Down,Selena Gomez,2OsEJFTfzfjG4oC92cuP2c,2021-01-26T00:10:17Z,1214496633
Remedy,Little Boots,1I0k04eIuAYfd4ObZ1POli,2021-01-26T00:10:28Z,1214496633
Take A Hint (feat. Victoria Justice & Elizabeth Gillies),"Victorious Cast, Victoria Justice, Elizabeth Gillies",1T20tqHKrePjszGOdbFOEd,2021-01-26T00:11:25Z,1214496633
Must Be Love,Christina Grimmie,3SIWH4Ec6D7DuZC6YHkk6a,2021-01-26T00:11:36Z,1214496633
Heat Rising,September,2lelL3JYOMRV6iL2A6tCx4,2021-01-26T00:36:01Z,1214496633
Chemistry (radio version),Velvet,0Lsgh402I7Y9ZtNtMF6in6,2021-01-26T00:36:24Z,1214496633
On The Metro,Girls Aloud,2NZFQ5xAY6obCPiJjtMD6L,2021-01-26T00:36:33Z,1214496633
How to Be a Heartbreaker,MARINA,2Ow4Pmi0VOOLvbmJ8V70qo,2021-01-26T02:02:27Z,1214496633
Heart Attack,Demi Lovato,1V6gIisPpYqgFeWbMLI0bA,2021-01-26T02:04:04Z,1214496633
Everytime We Touch,Cascada,1eOHw1k2AoluG4VyjBHLzX,2021-01-26T02:05:16Z,1214496633
You Belong With Me,Taylor Swift,3GCL1PydwsLodcpv0Ll1ch,2021-01-26T02:05:36Z,1214496633
E.T.,Katy Perry,4z8ssgZfs5TzKiO8HaGWXO,2021-01-26T02:06:13Z,1214496633
Dance Monkey,Tones And I,2XU0oxnq2qxCpomAAuJY8K,2021-01-26T02:06:21Z,1214496633
Cry for Me,Camila Cabello,40nPimvmG05WYS7983bawZ,2021-01-26T02:06:29Z,1214496633
Centerfold,P!nk,3Z8FYAcaxRB0ksetrVMu7O,2021-01-26T02:06:35Z,1214496633
Shut Up and Dance,WALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,2021-01-26T02:07:41Z,1214496633
I Love It (feat. Charli XCX),"Icona Pop, Charli XCX",6HZ9VeI5IRFCNQLXhpF4bq,2021-01-26T02:07:46Z,1214496633
Work Bitch,Britney Spears,3KliPMvk1EvFZu9cvkj8p1,2021-01-26T02:08:03Z,1214496633
What You Waiting For?,Gwen Stefani,7icROppj4Z12Nr0xGgxWFJ,2021-01-26T02:08:07Z,1214496633
A Thousand Miles,Vanessa Carlton,6Qm9MaditCcx5V62rVHYqu,2021-01-26T02:10:32Z,1214496633
Call Me Maybe,Carly Rae Jepsen,3TGRqZ0a2l1LRblBkJoaDx,2021-01-26T02:10:36Z,1214496633
Truth Or Dare,Emily Osment,5FuqMHyesm7ofmkMFYD7eY,2021-01-26T15:55:10Z,1214496633
TiK ToK,Kesha,0HPD5WQqrq7wPWR7P7Dw1i,2021-01-26T15:58:37Z,1214496633
