name,artist,id,added_at,added_by
Beautiful Liar,"Beyoncé, Shakira",2HWWNoWEEEECwZhAiLg7ib,2022-04-19T06:08:54Z,1214496633
Cool for the Summer,Demi Lovato,3uwnnTQcHM1rDqSfA4gQNz,2022-04-19T06:09:00Z,1214496633
My Head is a Jungle - Radio Edit,"Wankelmut, Emma Louise",1kGfsEeAvV7a2sxeDX7gc0,2022-04-19T06:09:14Z,1214496633
No Control,"Krewella, MADGRRL",5yFhOx23Dnz3h7hplodAgf,2022-04-19T06:10:01Z,1214496633
Downtown,Allie X,5ckUvSqW1Oaucm19P6VmIK,2022-04-19T06:10:16Z,1214496633
Crave,Tove Lo,1L0EOspQBQnJEHvGxUj6yj,2022-04-19T06:19:10Z,1214496633
Crave You - Adventure Club Remix,Flight Facilities,283LAlCpfArRZOXPfkOQj0,2022-04-19T06:19:14Z,1214496633
As The Rush Comes - Gabriel & Dresden Chillout Mix,"Motorcycle, Gabriel & Dresden",2e2heYBbXWRsDsUtTIVIaF,2022-04-19T06:19:24Z,1214496633
Breathing Me In,Koven,6UGBM9pQ93YlIiQb2iW0gN,2022-04-19T06:27:49Z,1214496633
Control - Edit,Matrix & Futurebound,02NzXhfuoN7tmJZCgYA67u,2022-04-19T06:27:56Z,1214496633
Gold (feat. Yuna),"Adventure Club, Yuna",3wjen23Xb9H1kU4V50QyiZ,2022-04-19T06:28:32Z,1214496633
Hypnotic,Zella Day,2zsWRxMcUdGjj8TnWkVKw0,2022-04-19T06:28:49Z,1214496633
Lights - Bassnectar Remix,"Ellie Goulding, Bassnectar",3nPpCn5nYTMg0ajmzv57Jq,2022-04-19T06:29:31Z,1214496633
S&M,Rihanna,2u02eLj96Atd6TBxkH9YvN,2022-04-19T06:31:22Z,1214496633
FMRN,Lilyisthatyou,08hB2ERJV6A1Ntu3OHgzjh,2022-04-19T06:31:33Z,1214496633
Dangerous - Thyron Remix,"Cascada, Thyron",2DeGPkkkn8tnI9NbUfrnu2,2022-04-19T06:31:38Z,1214496633
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",0O45fw2L5vsWpdsOdXwNAR,2022-04-19T06:31:56Z,1214496633
Qué Rico Fuera,"Ricky Martin, Paloma Mami",7Bd1mIvqRkIXTPAzw2wBmT,2022-04-19T06:32:49Z,1214496633
Ignite,"Alan Walker, Julie Bergan, K-391, SEUNGRI",1jLsirPDkUS2g4gnkYua58,2022-04-19T06:33:05Z,1214496633
Bubblegum Bitch,MARINA,0ZFBKLOZLIM16RAUb5eomN,2022-04-19T06:33:54Z,1214496633
GIRL LIKE ME - twocolors remix,"Black Eyed Peas, Shakira, twocolors",19tO5sNxHHJcX7CUPMVykl,2022-04-19T06:34:23Z,1214496633
