name,artist,id,added_at,added_by
Almost Touch Me,Maisy Kay,4Oe3TbpajzSjPwpQ6Cc1u1,2022-08-23T03:14:39Z,1214496633
Downtown,Allie X,5ckUvSqW1Oaucm19P6VmIK,2022-08-23T03:14:43Z,1214496633
Buttons,The Pussycat Dolls,3BxWKCI06eQ5Od8TY2JBeA,2022-08-23T03:15:12Z,1214496633
Crave,Tove Lo,1L0EOspQBQnJEHvGxUj6yj,2022-08-23T03:16:36Z,1214496633
East of Eden,Zella Day,2Wc2tcQl7cPetPKeXH3GD3,2022-08-23T03:17:39Z,1214496633
FMRN,Lilyisthatyou,08hB2ERJV6A1Ntu3OHgzjh,2022-08-23T03:17:48Z,1214496633
High Enough,K.Flay,1qwno7xb5mJe71xtMS6jl2,2022-08-23T03:18:48Z,1214496633
Hypnotic,Zella Day,2zsWRxMcUdGjj8TnWkVKw0,2022-08-23T03:19:09Z,1214496633
MIDDLE OF THE NIGHT,Elley Duhé,58HvfVOeJY7lUuCqF0m3ly,2022-08-23T03:20:36Z,1214496633
Say It Right,Nelly Furtado,2aI21FnmY7TJVKeMaoQZ0t,2022-08-23T03:22:38Z,1214496633
My Head Is A Jungle - Radio Edit,"Wankelmut, Emma Louise",01MXD4SH5HFdLIUSp1SL3H,2022-08-24T22:03:51Z,1214496633
Dance Again (feat. Pitbull),"Jennifer Lopez, Pitbull",4d2hD63oUGU3s7L66JD0BE,2022-08-26T23:08:20Z,1214496633
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",0O45fw2L5vsWpdsOdXwNAR,2023-04-14T01:20:12Z,1214496633
Dirty Thoughts,Chloe Adams,2g1QPpTd4o8gTAapxEUPnz,2023-06-05T16:54:40Z,1214496633
