name,artist,id,added_at,added_by
Slay the Spire,Clark Aboud,6fbPTI1wkj8n6U495ANMjF,2019-06-02T04:22:11Z,1214496633
Exordium,Clark Aboud,7Llt4LWOLaQ9B3ypNdM5Ws,2019-06-02T04:22:11Z,1214496633
Battle Trance,Clark Aboud,18O0a5K8kjfUR2WmWg3YWQ,2019-06-02T04:22:11Z,1214496633
The Guardian Emerges,Clark Aboud,1hfvciasWSkVoLYw3mA27t,2019-06-02T04:22:11Z,1214496633
Exordium Slain,Clark Aboud,1uo1MFdbpOzJcyMmUIMmLz,2019-06-02T04:22:11Z,1214496633
Meet the Merchant,Clark Aboud,5C1Gegq5eYKZ3DMrGEf9iE,2019-06-02T04:22:11Z,1214496633
The City,Clark Aboud,7ppZktdYjPi8hrP9ItKqd5,2019-06-02T04:22:11Z,1214496633
Escape Plan,Clark Aboud,2DJaPsOCztz2E5dqs2FWua,2019-06-02T04:22:11Z,1214496633
Battle With the Champ,Clark Aboud,5r99XNAL60zpYQS5gLiLVs,2019-06-02T04:22:11Z,1214496633
The City Slain,Clark Aboud,3IeynLawbTpnECBzMMeE28,2019-06-02T04:22:11Z,1214496633
The Unknown,Clark Aboud,04zXIVI9bHKkxrLGeWHYR8,2019-06-02T04:22:11Z,1214496633
After Image,Clark Aboud,3OdvRHAHsbO44FnwpV4aq6,2019-06-02T04:22:11Z,1214496633
Facing the Elite,Clark Aboud,4b2b8WvOAEWLsdMoRFFF1g,2019-06-02T04:22:11Z,1214496633
The Elite Slain,Clark Aboud,45e5nAuEaCxbIvKNmTswuh,2019-06-02T04:22:11Z,1214496633
Dramatic Entrance,Clark Aboud,20MHJ5E6hlnrg2mbl9FGQm,2019-06-02T04:22:11Z,1214496633
The Beyond,Clark Aboud,0YmV0t9fTQoyFwbN21ptLn,2019-06-02T04:22:11Z,1214496633
The Awakened One,Clark Aboud,57dcAvpzFV9QyBPL8OysZv,2019-06-02T04:22:11Z,1214496633
The Beyond Slain,Clark Aboud,6ebpQy91379CdVVkxQV21c,2019-06-02T04:22:11Z,1214496633
The Credits,Clark Aboud,37s1xUvAYeuH71bOBtiA9m,2019-06-02T04:22:11Z,1214496633
Bonus (Trailer),Clark Aboud,0bWoGtBUJXA8294YNjub8O,2019-06-02T04:22:11Z,1214496633
Mind Bloom,Clark Aboud,0UWUA4WizYltLqAnTk0DPT,2019-06-02T04:22:11Z,1214496633
The Ending,Clark Aboud,2O8rE4PRcXYiOPc8EBjCwd,2019-06-02T04:22:11Z,1214496633
The Heart,Clark Aboud,5nij2OM6iuzF09u3IgF2uf,2019-06-02T04:22:11Z,1214496633
The Spire Slain,Clark Aboud,3OSnarKJFqONK0W8iNLDG6,2019-06-02T04:22:11Z,1214496633
Bonus (Launch Trailer),Clark Aboud,0pMBvcNhoPUZZiwMhuISkw,2019-06-02T04:22:11Z,1214496633
