name,artist,id,added_at,added_by
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,2021-07-15T02:56:07Z,1214496633
Angels Lullaby,"Arash, Helena",7hK11yxngqGW5i2mLr8Itk,2021-07-15T02:57:21Z,1214496633
See You Again,Miley Cyrus,3AjyOYxBv8bByfBtG5o9dP,2021-07-15T03:49:33Z,1214496633
Little Talks,Of Monsters and Men,3a2tuvXCHbW5nuUckuHkKT,2021-07-15T04:29:08Z,1214496633
Femme Fatale,Coyote Kid,3LDvzgAmJELB2UWTsOgI4C,2021-07-15T04:33:00Z,1214496633
Major Tom,Shiny Toy Guns,6MQdIVpcXuaa9QpuCd33ei,2021-07-17T01:54:09Z,1214496633
Envy Green,The Arcadian Wild,5YtPkOQZ0f5JEccEIsi1T6,2021-07-17T03:23:56Z,1214496633
Fell In Love With A Girl,The White Stripes,6YK2tAEYnHgYkkC6TSziqM,2021-07-17T04:06:57Z,1214496633
As the World Caves In,Sarah Cothran,7LAmsNJpBaNvNg7VZPXxSv,2021-07-17T19:19:11Z,1214496633
You Don’t Get Me High Anymore,Phantogram,3gkSQbWTDBh0ZKq85WmJDz,2021-08-26T21:41:42Z,1214496633
Empty Threat,CHVRCHES,6U8Zuz6CpdSUZIlimr8QTR,2021-08-31T21:10:45Z,1214496633
No Sympathy,"Kayobe, Zoe Sky Jordan",73If45AYwtVywx4xrmvLMp,2021-08-31T21:22:03Z,1214496633
New Slang,The Shins,2cP37n7TZEe0oBxCbZu0KA,2021-08-31T21:22:50Z,1214496633
Pure Sunlight,"Laura Brehm, Mr FijiWiji, AgNO3",2ItQjU9tiT5lWQx1jxu76Q,2021-08-31T21:26:34Z,1214496633
Lights Out,Deep Sea Diver,6coKCtOW9hd4OTNCvYZVDg,2021-08-31T21:26:40Z,1214496633
Rihanna (feat. Noonie Bao),"Clean Bandit, Noonie Bao",3ZaDmFALjerSY8EKhnKFd8,2021-08-31T21:35:23Z,1214496633
Drinkee,Sofi Tukker,0WE8YTl6GAVHnkfvMfci98,2021-08-31T21:38:22Z,1214496633
1965,Zella Day,1DP3tixUaj6mNz3Y4sfMN8,2021-09-11T10:19:25Z,1214496633
Lone Digger,Caravan Palace,3wAIm2nzoJ7UWoDWfDx2eE,2021-09-11T10:39:20Z,1214496633
Dangerous - Thyron Remix,"Cascada, Thyron",2DeGPkkkn8tnI9NbUfrnu2,2021-09-12T08:31:58Z,1214496633
Take My Breath - Single Version,The Weeknd,6OGogr19zPTM4BALXuMQpF,2021-09-13T00:58:56Z,1214496633
Help I'm Alive,Metric,1z4xjDLLWJgG48Bn8OCxZv,2021-09-17T03:33:49Z,1214496633
High,Sir Sly,17aDyX39gb1iV1ZWvD1ffE,2021-09-25T07:02:59Z,1214496633
