name,artist,id,added_at,added_by
Sarah,Derina Harvey Band,4qoY9d0fhLD6RzTAxk72fQ,2022-11-19T19:51:30Z,1214496633
Nancy Mulligan,Ed Sheeran,35QZaWQRkmnAVqBF1TLCxQ,2022-11-19T19:51:37Z,1214496633
Leatherwing Bat,"Peter, Paul and Mary",2taexyWnKdiW8mJJHPbZ5k,2022-11-19T19:52:27Z,1214496633
Do I Wanna Know?,Arctic Monkeys,5FVd6KXrgO9B3JPmC8OPst,2022-11-19T19:52:33Z,1214496633
Slim Pickens Does The Right Thing And Rides The Bomb To Hell,The Offspring,1feH81BVs89SplmcJzuh1F,2022-11-19T19:53:04Z,1214496633
Arabella,Arctic Monkeys,7nzsY8vlnKdvGOEE0rjAXZ,2022-11-19T19:53:23Z,1214496633
Vienna,Billy Joel,4U45aEWtQhrm8A5mxPaFZ7,2022-11-19T19:53:27Z,1214496633
La Llorona,"Alanna Ubach, Antonio Sol",5fBcRH4CnYTaFMQtM0JtSl,2022-11-19T19:54:03Z,1214496633
My Eyes,"Neil Patrick Harris, Felicia Day",7Ak1OOi3ecT36gDR1gAuMt,2022-11-19T19:54:13Z,1214496633
A Proper Cup of Coffee,Seamus Kennedy,1dGTuymkMuO0DwsHIRMtm1,2022-12-20T05:35:59Z,1214496633
Shady Grove,Among The Oak & Ash,071smWCqhOmkiijPY11vmK,2022-12-20T06:08:23Z,1214496633
Oak & Ash & Thorn,The Longest Johns,38FCXf9CTcH9MJKn3WsJ7x,2022-12-20T06:10:28Z,1214496633
"Frozen Heart - From ""Frozen""/Soundtrack Version",Cast - Frozen,3xDVJcvcKedshWlT3qGSHk,2023-01-14T18:30:46Z,1214496633
Scarborough Fair,Sarah Brightman,4vixgSEittlcLbvclr6xjN,2023-02-03T17:10:47Z,1214496633
Skeletons,Brothers Osborne,4ULmTlRhaDL9KzyhoueQFo,2023-02-12T17:48:57Z,1214496633
Denny's,The King's Busketeers,1LFXkONrtbQm4B6FbXcQtx,2023-02-12T17:53:50Z,1214496633
I'll Make a Man Out of You,"Donny Osmond, Chorus - Mulan, Disney",28UMEtwyUUy5u0UWOVHwiI,2023-03-30T20:47:46Z,1214496633
Wellerman,The Wellermen,2JQVIEw8UqX3PDMo6W29NL,2023-04-20T21:39:50Z,1214496633
Old Money,"Magic: The Gathering, Jonathan Young, Caleb Hyles",0WlkiUVPkoyxwBxRcJzFQC,2023-04-24T00:14:48Z,1214496633
Dos Oruguitas,Sebastian Yatra,5rohUzwEoRsUvAA1Bf3DLo,2023-05-23T09:32:20Z,1214496633
The Masochism Tango,Tom Lehrer,5TVWVF2LqehTmSZI4nykXa,2023-07-06T15:52:21Z,1214496633
Brianstorm,Arctic Monkeys,5rTIpPWeO0IL4HWlGWrz5G,2023-07-06T16:09:56Z,1214496633
Hell's Comin' with Me,Poor Man's Poison,0cPvRrV9PBBHVfHoGBlFdO,2023-07-06T19:03:24Z,1214496633
X (with KAROL G),"Jonas Brothers, KAROL G",77fvnWALKJR0ws1VUx09CY,2023-08-09T17:01:35Z,1214496633
Hallucinate,Dua Lipa,1nYeVF5vIBxMxfPoL0SIWg,2023-08-21T17:54:22Z,1214496633
House Of The Rising Sun,The Animals,7BY005dacJkbO6EPiOh2wb,2023-09-26T05:32:52Z,1214496633
Last Ride of the Day,Nightwish,6R9j9XEisGCoIE8r8UtbiS,2023-11-10T15:10:11Z,1214496633
Lent,Autoheart,3eonvnYEnoZHwmfTQrGf0q,2023-12-06T16:24:30Z,1214496633
The Rifle's Spiral,The Shins,4vg1R4QYoWSFUUj2qX5L5K,2024-02-29T05:31:35Z,1214496633
Ballroom Blitz,Sweet,3Pu3IChaAoa5EjgUBv5F6x,2024-06-20T18:58:49Z,1214496633
Firefly - Main Title,Sonny Rhodes,7fYjOsaVgC7Pbx4FRmvgRt,2024-06-20T19:10:32Z,1214496633
Into The Unknown,The Blasting Company,1uxgAlSrXK5Xlo59HHsOPW,2024-06-26T00:08:52Z,1214496633
Christmas Truce,Sabaton,7m2ZeXTKhW8e4MYEIYh2pT,2024-06-26T21:32:28Z,1214496633
Uplift,Vixy & Tony,0Q0Yua6QqTa1LROPoM8Yvt,2024-07-08T21:13:07Z,1214496633
Dath Ilan's Song,"The Fooming Shoggoths, Eliezer Yudkowsky",3THOCW9aCt0UOXPW1YLw0j,2024-07-13T07:25:08Z,1214496633
