name,artist,id,added_at,added_by,length_seconds
Tanz mit mir,"Faun, Santiano",3zodQoSA9p2jwSlFrYkzHF,2020-09-20T14:19:29Z,1214496633,182
California Uber Alles,Dead Kennedys,5szJ8SMwQVEvvdk65w6M6g,2020-09-20T14:19:55Z,1214496633,207
New Slang,The Shins,2cP37n7TZEe0oBxCbZu0KA,2020-09-20T14:20:42Z,1214496633,231
Robot Stop,King Gizzard & The Lizard Wizard,4bbZcD92nLvQnbrblZTS1K,2020-09-20T14:20:50Z,1214496633,322
You Don’t Get Me High Anymore,Phantogram,3gkSQbWTDBh0ZKq85WmJDz,2020-09-20T14:21:05Z,1214496633,219
Heads Will Roll,Yeah Yeah Yeahs,18oWEPapjNt32E6sCM6VLb,2020-09-20T14:21:08Z,1214496633,221
Ballroom Of Romance,Celtic Woman,54NdJzrlrl1uPIoR7CGsuf,2020-09-20T14:22:56Z,1214496633,196
Stampede,Bitter Ruin,1mDM2v1mwi9zbjZZcU0PfL,2020-09-20T14:23:27Z,1214496633,175
Pure Sunlight,"Laura Brehm, Mr FijiWiji, AgNO3",2ItQjU9tiT5lWQx1jxu76Q,2020-09-20T14:23:32Z,1214496633,337
Again,Flyleaf,3v2XiE8ztYHOsrjIBN4Xh2,2020-09-20T14:24:09Z,1214496633,184
Truth Or Dare,Emily Osment,5FuqMHyesm7ofmkMFYD7eY,2020-09-20T14:28:42Z,1214496633,182
Novocaine,Fall Out Boy,5F0bmCjKUufNz1bHXfgRwe,2020-09-20T14:29:07Z,1214496633,226
Shady Grove,Among The Oak & Ash,071smWCqhOmkiijPY11vmK,2020-09-20T14:29:14Z,1214496633,112
Morphine,Varien,1veZX2uE4Aa4LJwLgsJw9u,2020-09-20T14:33:18Z,1214496633,331
Up In Flames,Icon For Hire,5YnXMt6T8p6DT8Zpcb7O4e,2020-09-20T14:34:22Z,1214496633,168
Sleepless In NYC,Autograf,6V2AHCTqyVsN4c9R3X3BWj,2020-09-20T14:34:51Z,1214496633,205
Gimme Some Rhythm Daddy,"Brian Setzer, The Brian Setzer Orchestra",1jjxpxsama7JbsCbTvKeXi,2020-09-20T14:35:01Z,1214496633,153
Young,Vallis Alps,3u4rIcRR7gSoJdkJIx9zpu,2020-09-20T14:35:40Z,1214496633,324
Teardrop,"Massive Attack, Elizabeth Fraser",67Hna13dNDkZvBpTXRIaOJ,2020-09-20T14:45:02Z,1214496633,330
Alabina,Alabina,1QvqWwj4aaqEaoCJOk2NGr,2020-09-20T14:48:07Z,1214496633,224
Almost Touch Me,Maisy Kay,4Oe3TbpajzSjPwpQ6Cc1u1,2020-09-30T16:40:49Z,1214496633,201
Misery Business,Paramore,6SpLc7EXZIPpy0sVko0aoU,2020-10-20T19:53:14Z,1214496633,211
The Girl (Color Source Remix) [feat. Cozi Zuehlsdorff],"Hellberg, Cozi Zuehlsdorff",5z44Vqvf3NXal1kJS0gXN3,2020-10-20T20:01:31Z,1214496633,249
Ritual,"Delerium, PHILDEL",25w29FpdG4Fai52U84Ynu9,2020-10-27T23:11:47Z,1214496633,314
The Rifle's Spiral,The Shins,4vg1R4QYoWSFUUj2qX5L5K,2020-10-29T20:16:38Z,1214496633,209
Help I'm Alive,Metric,1z4xjDLLWJgG48Bn8OCxZv,2020-12-01T23:55:54Z,1214496633,285
