name,artist,id,added_at,added_by
Envy Green,The Arcadian Wild,5YtPkOQZ0f5JEccEIsi1T6,2021-02-08T02:34:36Z,1214496633
New Slang,The Shins,1wAqhAF1dynDjMy7m5CSSE,2021-02-08T02:35:44Z,1214496633
Sweet Baby James,James Taylor,1lZJzhTAzXWgEY3RSw9cvx,2021-02-08T02:36:05Z,1214496633
Kiss Me,Sixpence None The Richer,754kgU5rWscRTfvlsuEwFp,2021-02-08T02:36:59Z,1214496633
Ghost of a Rose,Blackmore's Night,7pDDVJQZIg0PLVUzAT0KGj,2021-02-08T02:37:15Z,1214496633
Firefly - Main Title,Sonny Rhodes,7fYjOsaVgC7Pbx4FRmvgRt,2021-02-08T03:42:08Z,1214496633
Shady Grove,Among The Oak & Ash,071smWCqhOmkiijPY11vmK,2021-02-08T05:35:49Z,1214496633
Sleepless In NYC,Autograf,6V2AHCTqyVsN4c9R3X3BWj,2021-02-08T06:29:13Z,1214496633
I Will Follow You into the Dark,Death Cab for Cutie,3kZC0ZmFWrEHdUCmUqlvgZ,2021-02-08T06:29:36Z,1214496633
Young,Vallis Alps,3u4rIcRR7gSoJdkJIx9zpu,2021-02-08T06:30:21Z,1214496633
Teardrop,"Massive Attack, Elizabeth Fraser",67Hna13dNDkZvBpTXRIaOJ,2021-02-08T06:30:29Z,1214496633
Let It Be (feat. Veela),"Blackmill, Veela",4ChBLndekjzQveHPsn3r6W,2021-02-08T06:31:27Z,1214496633
Beside You,PHILDEL,1lnv5XUK0gMv6gkU7URJR3,2021-02-20T17:49:38Z,1214496633
As the World Caves In,Sarah Cothran,7LAmsNJpBaNvNg7VZPXxSv,2021-07-04T20:40:03Z,1214496633
Don't Wake Me Up,"Phaeleh, Jess Mills",7yEWSB8rYdd35BuBaXpDTX,2021-07-05T04:35:08Z,1214496633
Just A Kiss,Lady A,2OXidlnDThZR3zf36k6DVL,2021-09-14T06:01:22Z,1214496633
