name,artist,id,added_at,added_by,length_seconds
Saturday Sun,Nick Drake,1drLQNS9D5z9lBP4DbtO2R,2021-01-26T02:14:29Z,baldwintc,245
The Sound Of Someone You Love Who's Going Away And It Doesn't Matter - 2008 Digital Remaster,Penguin Cafe Orchestra,5mhl1LKUCh4mOdPwh0WwMM,2021-01-26T02:14:58Z,baldwintc,704
Hugebaby - 2008 Digital Remaster,Penguin Cafe Orchestra,61PQuKGNEgRqk6c0RWBScm,2021-01-26T02:15:38Z,baldwintc,292
Chartered Flight - 2008 Digital Remaster,Penguin Cafe Orchestra,0ueffwRQBHT7TyPazFxIqT,2021-01-26T02:15:53Z,baldwintc,402
Treefingers,Radiohead,1j7Aja1PyrcuczY36JmzBv,2021-01-26T02:16:29Z,baldwintc,222
aisatsana [102],Aphex Twin,3ESsjKqrj3M79I8sSZieK3,2021-01-26T02:16:54Z,baldwintc,321
Confessions,"BADBADNOTGOOD, Leland Whitty",6Z6B2XIvMs0ZQ8dF8xfo4q,2021-01-26T02:17:12Z,baldwintc,300
Folded Inwards and Then Inwards Again,Ikotu,546OAmDiIbAydPkzcOLEk6,2021-01-26T02:17:36Z,baldwintc,183
Svefn-g-englar,Sigur Rós,07eGxuz8bL6QMsRqEe1Adu,2021-01-26T02:18:00Z,baldwintc,606
WhereYouGonnaGo?,Jitwam,3BsRVYxmYWzLkM1kWpDo59,2021-01-26T02:19:07Z,baldwintc,308
later...,Jitwam,3F3GJmzEAMPI4ok4yxfftU,2021-01-26T02:21:48Z,baldwintc,226
Bodhi Mandala - Drumspyder Remix,"Desert Dwellers, Drumspyder",6mDC6NLIWT8EsXfkZ1pwkV,2021-01-26T02:22:37Z,baldwintc,378
Moby Octopad,Yo La Tengo,00839RHIOqd7KUunk009jh,2021-01-26T02:22:53Z,baldwintc,348
House of Woodcock,Jonny Greenwood,6FZDedaCzYhO4sdG3VYcHZ,2021-01-26T02:23:28Z,baldwintc,233
Part 2/ IBM 1403 Printer,Jóhann Jóhannsson,2qRix2KUkB03VxEtIMd4kB,2021-01-26T02:24:51Z,baldwintc,572
1/1 - Remastered 2004,Brian Eno,3bCmDqflFBHijgJfvtqev5,2021-01-26T02:25:46Z,baldwintc,1041
Deep Blue Day - Remastered 2019,Brian Eno,30BavOyMpZnvVlAtxuWZIX,2021-01-26T02:26:06Z,baldwintc,238
Tezeta (Nostalgia),Mulatu Astatke,414J8tKHbtF16XOiHGBEso,2021-01-26T02:26:37Z,baldwintc,376
Avril 14th,Aphex Twin,2MZSXhq4XDJWu6coGoXX1V,2021-01-26T02:26:48Z,baldwintc,125
Sunflower River Blues - Re-Recorded Version,John Fahey,6CePeHbXmgwna8B5dC6xKV,2021-01-26T02:28:39Z,baldwintc,200
I Wrote This Song For The Girl Paris Hilton,Vincent Gallo,0dIYLb0o7VhHLzmorCznO7,2021-01-26T02:31:03Z,baldwintc,250
Lazy Calm,Cocteau Twins,6MWnAibO1HAEhlrHoH1kNi,2021-01-26T02:31:37Z,baldwintc,394
Pastoral II - Remastered 2000,Moondog,1U7E1bqyU8EHWhA9O4dzgB,2021-01-26T02:32:11Z,baldwintc,166
Weightless Part 1,Marconi Union,2UZZtkoLOg7IHxeTAdPFvd,2021-01-26T02:33:19Z,baldwintc,486
Can't Leave the Night,BADBADNOTGOOD,6UjntD5S4z0uc0hsDTEtFw,2021-01-26T02:35:54Z,baldwintc,280
Ponytail,Panda Bear,6J8fqvMu3gwPBwbgysO5sm,2021-01-26T02:42:00Z,baldwintc,126
What’s The Goodside?,Avey Tare,3JuJ79XWh5vZkA3zserZSW,2021-01-26T02:42:44Z,baldwintc,391
Baby,"Ariel Pink, DāM-FunK",1e4kwCOOIv8OHBHSd3avgQ,2021-01-26T02:43:19Z,baldwintc,287
Time Station / タイムステーション,"Ape Escape, Soichi Terada",0Gmbl79swhGkXZKjUQjWy2,2021-01-26T02:43:51Z,baldwintc,195
Harvest Dawn,Jeremy Soule,1NhDv99nTtRm37rZpoH7Ix,2021-01-26T02:44:24Z,baldwintc,171
Sunrise of Flutes,Jeremy Soule,7vwiMFaufkvfOsNSUNgolL,2021-01-26T02:45:07Z,baldwintc,176
True Love Waits,Christopher O'Riley,0hU5UbvoNSNxDAu9nO6XhZ,2021-01-26T02:50:18Z,baldwintc,295
You Are Here Now,Heron,1FBqtxZeqYMxvD9TEfpx8D,2021-01-26T02:52:22Z,baldwintc,211
Kola - Lighthouse Version,amiina,5u3KKKnr2XeZ1JXd1nqLuH,2021-01-26T02:57:36Z,baldwintc,315
Bewley In White,Bibio,4wTVwkvN1YHr7EWvsYSv35,2021-01-26T02:57:54Z,baldwintc,268
The Light,The Album Leaf,0PaOYkEinHPDxK4yq7sR5l,2021-01-30T14:41:37Z,baldwintc,269
Window,The Album Leaf,2aagSHemkQPt1MuBCkdXUc,2021-01-30T14:41:51Z,baldwintc,224
Twentytwofourteen,The Album Leaf,5pie01PYzPuRexCyFilLGU,2021-01-30T14:42:07Z,baldwintc,340
All Laid Back and Stuff,Andy McKee,0u723cP3iEFZzi4sB48iIi,2021-01-30T14:42:42Z,baldwintc,165
Circle22,"Birds Of The West, Foam and Sand",2UueeJyLwz0KSWs4hQb2UC,2021-01-30T14:43:06Z,baldwintc,129
€ € € €^^%%!!!!!heaven!!!!!!,"Lala Lala, Baths",3ddBD2MmpWMqkIXJj4Iqxe,2021-01-30T14:48:07Z,baldwintc,263
Future Days,CAN,4KdjQ2DMs845e6Ag6TO6Yg,2021-02-13T20:24:43Z,baldwintc,569
"Nocturne in E-Flat Major, Op. 9, No. 2","Frédéric Chopin, Sergei Rachmaninoff",40IsLcfI8lJC7dJYK6YcpS,2021-02-23T01:03:01Z,baldwintc,286
3 Gymnopédies: Gymnopedie No. 1,"Erik Satie, Klara Kormendi",1jQUjKDjWsVPIYyLANEThG,2021-02-23T02:11:23Z,baldwintc,159
Still Space,Satoshi Ashikawa,5hcJ5NF0iMScsMwB7r6Hui,2021-02-24T17:55:36Z,baldwintc,239
Sligo River Blues - Original Recording,John Fahey,5U9mObciLrrnJC0hE84SIu,2021-03-08T13:28:20Z,baldwintc,185
Turian Courtship,Baths,5uVCe2IbS5L2NkIkbWFXMM,2021-03-18T13:47:47Z,baldwintc,246
Seaside Town,Baths,1bjMEzKUkza3jpbgnYywRe,2021-03-18T13:51:34Z,baldwintc,198
insignificant,Smoke Trees,0O843jFqWbkuHHkSR0xQz4,2021-05-10T22:25:41Z,baldwintc,98
Altiplano,"Erlend Øye, La Comitiva",1p23AgfXaOjpUSxqPowX8x,2021-05-15T16:54:03Z,baldwintc,204
Space is the Place,Sun Ra,1hpdVGEaZovrlcnY0Yqcc9,2021-09-07T14:41:29Z,baldwintc,587
By This River - 2004 Digital Remaster,Brian Eno,13b87C9TNBFKJAi9YB4Rr8,2022-04-26T20:29:49Z,baldwintc,183
The Ghost Has No Home,"Cocteau Twins, Harold Budd",0rtfF7pfVYD5nvBQ1mPRsD,2022-08-18T14:45:32Z,baldwintc,455
Pêche (Sketches),h hunt,3IpHKnFhKwDrFylQqQhbg7,2023-01-25T01:05:35Z,baldwintc,123
Always Returning - Remastered 2005,Brian Eno,1ps5sx71OhHiBVmGiKQSne,2024-02-04T12:22:23Z,baldwintc,244
Feel Good Lost - Reprise,Broken Social Scene,3L8Tch1f0GnaN2Xk9oBlHC,2024-03-13T23:27:37Z,baldwintc,182
Guilty Cubicles,Broken Social Scene,4f95PAB4KsZyLhr2k7HKKf,2024-03-13T23:31:05Z,baldwintc,183
