name,artist,id,added_at,added_by
Betty Dreams of Green Men,Guerilla Toss,5x5EyKCWJkX0iSfu68OTeA,2020-10-03T13:52:12Z,baldwintc
A Life of Possibilities,Dismemberment Plan,3TKWCQMU7xYEEslFXsj51i,2020-10-03T13:52:14Z,baldwintc
Sugar for the Pill,Slowdive,0GN3fXUdsTHeUg50xfDS0V,2020-10-03T13:52:18Z,baldwintc
Confessions,"BADBADNOTGOOD, Leland Whitty",6Z6B2XIvMs0ZQ8dF8xfo4q,2020-10-03T13:52:21Z,baldwintc
Collector,Here We Go Magic,6g5OwogES4o1tykrnDkbuZ,2020-10-03T13:52:25Z,baldwintc
still feel.,half•alive,48XkVAagIoQHCsOlJtXUd5,2020-10-03T14:36:36Z,1236518336
Archangel,Amaranthe,28aQT80RVsVsD1X98WCew1,2020-10-03T14:42:20Z,1214496633
We Appreciate Power,"Grimes, HANA",1RuWiwnl4QOjL1x2kJiOZG,2020-10-03T14:42:30Z,1214496633
The Walker,Fitz and The Tantrums,0Nk7bSn0MItonkR0GNs3mj,2020-10-03T14:42:43Z,1214496633
B.Y.O.B.,System Of A Down,0EYOdF5FCkgOJJla8DI2Md,2020-10-03T14:42:59Z,1214496633
The Cave,Mumford & Sons,7IxVWmdabNVhfLBV3JD0nJ,2020-10-03T14:43:20Z,1214496633
The Masochism Tango,Tom Lehrer,5TVWVF2LqehTmSZI4nykXa,2020-10-03T14:43:39Z,1214496633
Tongues & Teeth,The Crane Wives,0XSOLgNqtHZgEEaQyoQctR,2020-10-03T14:43:44Z,1214496633
The Rifle's Spiral,The Shins,4vg1R4QYoWSFUUj2qX5L5K,2020-10-03T14:44:14Z,1214496633
California Uber Alles,Dead Kennedys,5szJ8SMwQVEvvdk65w6M6g,2020-10-03T14:44:35Z,1214496633
Half-Truism,The Offspring,7xm8RWCCBYvEVx1VyErDa3,2020-10-03T14:44:50Z,1214496633
Robot Stop,King Gizzard & The Lizard Wizard,4bbZcD92nLvQnbrblZTS1K,2020-10-03T14:44:55Z,1214496633
Grenadine,Dreadlight,730B6YCyNKe3KcvF3txlJB,2020-10-03T14:45:15Z,1214496633
Paris (Ooh La La),Grace Potter & The Nocturnals,34saS5yPSyoZ6QYwC7YGfe,2020-10-03T14:45:40Z,1214496633
Trip the Darkness,Lacuna Coil,071qZ9lL7h6ULW1WNgQjE3,2020-10-03T14:46:14Z,1214496633
Don't Delete The Kisses,Wolf Alice,3K94Fd5ZQkPCW8wV6oyk22,2020-10-03T15:01:40Z,baldwintc
Little Fang,"Avey Tare's Slasher Flicks, Avey Tare",7ArU1U22qrYZbjFgUDzN5S,2020-10-03T15:02:35Z,baldwintc
When I Was Done Dying,Dan Deacon,69L4d5HlE0YOCwWFYVFGoW,2020-10-03T15:02:39Z,baldwintc
Time to Pretend,MGMT,4iG2gAwKXsOcijVaVXzRPW,2020-10-03T15:02:51Z,baldwintc
When I Drink - Live At Bojangles' Coliseum/2009,The Avett Brothers,1MgTvrCjhawQwGmcgeTtEO,2020-10-03T15:03:00Z,baldwintc
We Will Become Silhouettes - (Performed By The Shins),The Shins,3xMLLbaB19KWxMWAidNu88,2020-10-03T15:03:16Z,baldwintc
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,1xaTREM89RbIxkcjlpf4Uw,2020-10-03T15:03:25Z,baldwintc
Going to Georgia,The Mountain Goats,1ey9ub4AISvEmjM7tkoBh0,2020-10-03T15:03:30Z,baldwintc
Spun,GROUPLOVE,6WgvvNUermK2Xad0jRPxXr,2020-10-03T15:03:54Z,baldwintc
Mercury: Retrograde,Ghostemane,2Vc6NJ9PW9gD9q343XFRKx,2020-10-03T15:04:23Z,baldwintc
If I Ever Feel Better,Phoenix,3AA8xNhDC0MpqwkGX3EP5V,2020-10-03T15:04:29Z,baldwintc
Feed the Machine,Poor Man's Poison,4xe3UHiQOH2RNBXcuAKDvG,2020-10-04T00:13:25Z,1254297235
Fuck Me Up,Pokey LaFarge,0P1RceqOADcAiowCiblvzp,2020-10-04T00:13:35Z,1254297235
