name,artist,id,added_at,added_by
Control - Edit,Matrix & Futurebound,02NzXhfuoN7tmJZCgYA67u,2019-03-25T02:56:25Z,1214496633
Crave,Tove Lo,1L0EOspQBQnJEHvGxUj6yj,2019-03-25T02:57:19Z,1214496633
Enter the Chamber - 2015 Version,"Bassnectar, Sayr",1Etq0IKbzx48XtDFOwwXnD,2019-03-25T02:59:44Z,1214496633
Eye of the Storm,"Tut Tut Child, Laura Brehm",5xXLwddP0zh1Nvdv9mxcZX,2019-03-25T02:59:51Z,1214496633
The Girl (Color Source Remix) [feat. Cozi Zuehlsdorff],"Hellberg, Cozi Zuehlsdorff",5z44Vqvf3NXal1kJS0gXN3,2019-03-25T03:01:42Z,1214496633
Gold (feat. Yuna),"Adventure Club, Yuna",3wjen23Xb9H1kU4V50QyiZ,2019-03-25T03:01:59Z,1214496633
Heaven - Myon Remix,JES,27sxl1jJJOa1KXkVDDDXhA,2019-03-25T03:02:20Z,1214496633
Hypnotic,Zella Day,2zsWRxMcUdGjj8TnWkVKw0,2019-03-25T03:08:30Z,1214496633
Lights - Bassnectar Remix,"Ellie Goulding, Bassnectar",3nPpCn5nYTMg0ajmzv57Jq,2019-03-25T03:12:43Z,1214496633
Morphine,Varien,1veZX2uE4Aa4LJwLgsJw9u,2019-03-25T03:13:10Z,1214496633
Open Your Eyes (Deep Blue Songspell),Bea Miller,5yMw5BFXdKtbrSSUk1Qroi,2019-03-25T03:14:33Z,1214496633
Sing Me to Sleep - Marshmello Remix,"Alan Walker, Marshmello",2BcwzjPvVSkek2ZLdh7C9J,2019-03-25T03:18:42Z,1214496633
Supercell (feat. Veela),"Varien, Veela",0zGRHkUyRXVp5LVJ3GxuY5,2019-03-25T03:22:06Z,1214496633
Sweet Talk,Kito & Reija Lee,5antpYCYHhmqud6nMbnQdl,2019-03-25T03:22:13Z,1214496633
Underwater feat. Tina Malia,Bassnectar,68UEdReC2YqT8vvXZUaGWW,2019-03-25T03:23:07Z,1214496633
To Belong,"Mr FijiWiji, Exist Strategy",2b0gmOjYq6cMsEj2j8rBFf,2019-03-25T03:23:22Z,1214496633
Whispers in the Mist (feat. Aloma Steele),"Varien, Aloma Steele",7DCen4ntFuhSA2ZXRBl9PZ,2019-03-25T03:23:48Z,1214496633
This City,Kito & Reija Lee,7z7gjg0qzBef9ix6htSoTE,2019-03-25T03:25:08Z,1214496633
Crave You - Adventure Club Remix,Flight Facilities,283LAlCpfArRZOXPfkOQj0,2019-03-25T03:25:37Z,1214496633
As The Rush Comes - Gabriel & Dresden Chillout Mix,"Motorcycle, Gabriel & Dresden",2e2heYBbXWRsDsUtTIVIaF,2019-03-25T03:26:01Z,1214496633
Gravity (feat. Isabel Higuero),"Tut Tut Child, Isabel Higuero",1mYK5f8QB2eWa55MEhuX7f,2019-03-25T03:29:11Z,1214496633
Butterfly,"Bassnectar, Mimi Page",319WTcspJN65Lb27fVbjkc,2019-03-25T03:29:31Z,1214496633
Hummingbird,"Tut Tut Child, Augustus Ghost",16xwtwfqUPncDEsDpak67L,2019-04-01T08:09:27Z,1214496633
No U No Love,"Ela Rose, Gino Manzotti",36ivHjnkNOvaYCG5hKJokz,2019-04-11T18:08:06Z,1214496633
Glittered Ripples From the Depths,The Synthetic Dream Foundation,61QT5PtbSHbSY6d73SQh9M,2019-05-02T15:46:09Z,1214496633
Pure Sunlight,"Laura Brehm, Mr FijiWiji, AgNO3",2ItQjU9tiT5lWQx1jxu76Q,2019-07-06T04:55:51Z,1214496633
Silence (feat. Sarah McLachlan),"Delerium, Sarah McLachlan",5ARuQ91aFsjnHGcsKU1uux,2019-07-08T04:28:29Z,1214496633
Freedom - Original Mix,"ENYO, Mario Ayuda, Gaby Henshaw",60crBWyof4jb22BcBThkuO,2019-07-08T15:17:49Z,1214496633
Just Like Sleep,Passarella Death Squad,3nDb9J1NBbE0IuvGHufhOF,2019-07-20T13:58:46Z,1214496633
Sleepless In NYC,Autograf,6V2AHCTqyVsN4c9R3X3BWj,2019-08-07T05:06:33Z,1214496633
Zeus Is the DJ (feat. Uyanga Bold & Tina Guo),"Ciprian Costin, Iván Torrent, Úyanga Bold, Tina Guo",2rR1JNlR6AjtVD0QlGicFS,2019-08-11T20:09:09Z,1214496633
Crystallize,Lindsey Stirling,5JFkuKQsPps2ZaZzaLx63d,2019-08-29T15:21:27Z,1214496633
The Great Divide - Seven Lions Remix,Velvetine,2A7Y6Q3EkKEz9Eq8ccMMPy,2019-09-03T02:37:48Z,1214496633
Make Me Real,she,74q0NRmelvSBbeLjyIWjkL,2019-09-11T17:41:49Z,1214496633
Love Goes On And On (feat. Amy Lee),"Lindsey Stirling, Amy Lee",2JU81u88B4kWcFzWhU4dnk,2019-09-21T06:45:56Z,1214496633
Elements,Lindsey Stirling,5Q5sQ1AgLQ1wKKXIYt6FGC,2019-09-25T08:15:37Z,1214496633
Underground,Lindsey Stirling,2vcEiEb8cTgyeb0biKChCY,2019-09-28T03:42:23Z,1214496633
Artemis,Lindsey Stirling,4NqhgFyX3MHbRT3OfGFGW7,2019-09-28T03:46:40Z,1214496633
Foreverglow,Lindsey Stirling,3VbPS14t1JAcVD9FlhBgeX,2019-09-28T03:59:29Z,1214496633
Masquerade,Lindsey Stirling,2oDqUX7yTYi09Ya2XEL7sb,2019-09-28T04:06:57Z,1214496633
Becoming Harmonious (feat. Metal Mother),"The Glitch Mob, Metal Mother",1MHNTOgD58Cdw8IoCs97xM,2019-10-04T00:40:35Z,1214496633
