name,artist,id,added_at,added_by,length_seconds
Put Your Records On,Corinne Bailey Rae,2nGFzvICaeEWjIrBrL2RAx,2021-02-12T23:48:23Z,4077db4yencw87jr5ne6q3n9p,215
Play That Funky Music,Wild Cherry,5uuJruktM9fMdN9Va0DUMl,2021-02-12T23:50:19Z,4077db4yencw87jr5ne6q3n9p,300
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr., Bill Withers",1ko2lVN0vKGUl9zrU0qSlT,2021-02-12T23:51:11Z,4077db4yencw87jr5ne6q3n9p,438
Dreams - 2004 Remaster,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,2021-02-12T23:51:43Z,4077db4yencw87jr5ne6q3n9p,257
"Honey, Honey",ABBA,5JLRQJ8vhuIQuJblXxfVWg,2021-02-12T23:52:45Z,4077db4yencw87jr5ne6q3n9p,176
Faithfully,Journey,57ebBLITHpRgRKGrlbxMZS,2021-02-12T23:53:05Z,4077db4yencw87jr5ne6q3n9p,267
Walking On Sunshine,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,2021-02-12T23:54:51Z,4077db4yencw87jr5ne6q3n9p,238
Waterfalls,TLC,6qspW4YKycviDFjHBOaqUY,2021-02-12T23:55:28Z,4077db4yencw87jr5ne6q3n9p,279
Mr. Blue Sky,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,2021-02-12T23:57:32Z,4077db4yencw87jr5ne6q3n9p,303
Fat Bottomed Girls - Remastered 2011,Queen,4igIYHF3B5VBxEafHauVo3,2021-02-12T23:58:05Z,4077db4yencw87jr5ne6q3n9p,255
Rockin' Robin,Michael Jackson,2aadUB2b4hugbdIPU8Aypk,2021-02-12T23:59:03Z,4077db4yencw87jr5ne6q3n9p,151
Hold On,Wilson Phillips,4VZDv8sASBS8UruUBGTFdk,2021-02-13T00:00:20Z,4077db4yencw87jr5ne6q3n9p,266
Super Freak,Rick James,2dCmGcEOQrMQhMMS8Vj7Ca,2021-02-13T00:00:36Z,4077db4yencw87jr5ne6q3n9p,205
Dancing With Myself,Billy Idol,1BY1Vd2Bt6JPOhMvsIwtVv,2021-02-13T00:01:06Z,4077db4yencw87jr5ne6q3n9p,359
Waterloo,ABBA,1CsuK5dlnWAkWhffeteqH3,2021-02-13T00:01:28Z,4077db4yencw87jr5ne6q3n9p,165
Sir Duke,Stevie Wonder,4pNiE4LCVV74vfIBaUHm1b,2021-02-13T00:01:44Z,4077db4yencw87jr5ne6q3n9p,232
Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr,2021-02-13T00:04:29Z,4077db4yencw87jr5ne6q3n9p,147
Don't You Worry 'Bout A Thing,Stevie Wonder,1QvWxgZvTU0w8rlPRE5Zrv,2021-02-13T00:05:54Z,4077db4yencw87jr5ne6q3n9p,284
Don't Go Breaking My Heart,"Elton John, Kiki Dee",7HW5WIw7ZgZORCzUxv5gW5,2021-02-13T00:06:24Z,4077db4yencw87jr5ne6q3n9p,275
